scansci Spectrometer Data File
--- Measurement Setting ---
Type: Sample Spectrum
Date: Fri Nov 22 18:02:05 2024
User: (Reserved by scansci)
Serial: (Reserved by scansci)
Channel: No. 11
Integration Time: 300
Average: 30
Boxcar: 50
Electrical Dark: No-corrected
Time Normalize: (Reserved by scansci)
Dual-beam: (Reserved by scansci)
Reference Ch: (Reserved by scansci)
--- Measurement Data ---
Pixel   Wavelength   Intensity
    0        162.5      782.325
    1      162.985      782.173
    2      163.469      781.971
    3      163.954      781.791
    4      164.439      781.638
    5      164.923      781.442
    6      165.408      781.235
    7      165.892      781.014
    8      166.377      780.814
    9      166.861      780.602
   10      167.345      780.381
   11       167.83      780.239
   12      168.314       780.19
   13      168.798      780.198
   14      169.282      780.288
   15      169.766      780.498
   16       170.25      780.859
   17      170.734      781.199
   18      171.218      781.402
   19      171.702      781.516
   20      172.185      781.526
   21      172.669       781.62
   22      173.153      781.765
   23      173.636      781.764
   24       174.12      781.695
   25      174.603      781.749
   26      175.087      781.959
   27       175.57      782.135
   28      176.053      782.198
   29      176.537      782.252
   30       177.02      782.372
   31      177.503      782.441
   32      177.986      782.432
   33      178.469      782.395
   34      178.952      782.378
   35      179.435      782.326
   36      179.918      782.223
   37      180.401      782.089
   38      180.884      781.928
   39      181.366      781.777
   40      181.849      781.672
   41      182.332      781.591
   42      182.814      781.495
   43      183.297       781.39
   44      183.779      781.294
   45      184.262      781.205
   46      184.744      781.126
   47      185.226      781.038
   48      185.708      780.913
   49      186.191      780.782
   50      186.673      780.695
   51      187.155      780.773
   52      187.637      780.846
   53      188.119      780.883
   54        188.6      780.905
   55      189.082       780.75
   56      189.564      780.463
   57      190.046      780.289
   58      190.527      780.204
   59      191.009      780.172
   60      191.491      780.019
   61      191.972      779.878
   62      192.454      779.916
   63      192.935      779.958
   64      193.416      780.026
   65      193.897      780.067
   66      194.379      780.059
   67       194.86      780.028
   68      195.341      779.999
   69      195.822      779.987
   70      196.303      780.009
   71      196.784      780.135
   72      197.265      780.301
   73      197.746      780.399
   74      198.226      780.448
   75      198.707      780.443
   76      199.188       780.14
   77      199.668      779.635
   78      200.149      779.459
   79      200.629      779.579
   80       201.11      779.764
   81       201.59      780.009
   82       202.07      780.289
   83       202.55      780.526
   84      203.031      780.776
   85      203.511      780.835
   86      203.991      780.747
   87      204.471      780.511
   88      204.951       780.19
   89      205.431      780.041
   90       205.91      780.081
   91       206.39      780.184
   92       206.87      780.213
   93      207.349      780.295
   94      207.829      780.394
   95      208.309      780.475
   96      208.788      780.611
   97      209.267      780.716
   98      209.747      780.762
   99      210.226       780.76
  100      210.705      780.709
  101      211.185      780.703
  102      211.664      780.752
  103      212.143      780.865
  104      212.622      781.016
  105      213.101      781.111
  106      213.579      781.184
  107      214.058       781.26
  108      214.537      781.344
  109      215.016      781.463
  110      215.494      781.613
  111      215.973      781.819
  112      216.452      782.039
  113       216.93      782.123
  114      217.408      782.139
  115      217.887      782.124
  116      218.365      782.072
  117      218.843      781.962
  118      219.321      781.823
  119      219.799      781.805
  120      220.278      781.896
  121      220.755      781.981
  122      221.233      781.966
  123      221.711      781.857
  124      222.189        781.8
  125      222.667      781.832
  126      223.144       781.81
  127      223.622      781.621
  128        224.1      781.424
  129      224.577      781.297
  130      225.055      781.187
  131      225.532      781.038
  132      226.009      780.911
  133      226.486      780.814
  134      226.964       780.73
  135      227.441      780.663
  136      227.918      780.658
  137      228.395      780.701
  138      228.872      780.779
  139      229.349      780.891
  140      229.826      780.995
  141      230.302      781.031
  142      230.779      781.066
  143      231.256      781.124
  144      231.732       781.16
  145      232.209      781.223
  146      232.685      781.289
  147      233.162      781.294
  148      233.638      781.305
  149      234.114      781.364
  150       234.59      781.421
  151      235.066      781.449
  152      235.543      781.457
