scansci Spectrometer Data File
--- Measurement Setting ---
Type: Sample Spectrum
Date: Fri Nov 22 17:58:25 2024
User: (Reserved by scansci)
Serial: (Reserved by scansci)
Channel: No. 11
Integration Time: 540
Average: 30
Boxcar: 50
Electrical Dark: No-corrected
Time Normalize: (Reserved by scansci)
Dual-beam: (Reserved by scansci)
Reference Ch: (Reserved by scansci)
--- Measurement Data ---
Pixel   Wavelength   Intensity
    0        162.5      842.927
    1      162.985      842.603
    2      163.469      842.208
    3      163.954      841.864
    4      164.439       841.55
    5      164.923      841.152
    6      165.408      840.737
    7      165.892      840.349
    8      166.377      840.016
    9      166.861      839.666
   10      167.345      839.259
   11       167.83      838.942
   12      168.314      838.773
   13      168.798      838.732
   14      169.282      838.809
   15      169.766      839.055
   16       170.25      839.607
   17      170.734      840.104
   18      171.218      840.356
   19      171.702      840.522
   20      172.185      840.524
   21      172.669      840.595
   22      173.153      840.758
   23      173.636      840.741
   24       174.12      840.641
   25      174.603      840.749
   26      175.087      841.087
   27       175.57      841.316
   28      176.053       841.35
   29      176.537      841.373
   30       177.02      841.498
   31      177.503      841.561
   32      177.986      841.491
   33      178.469      841.383
   34      178.952      841.321
   35      179.435      841.204
   36      179.918      841.018
   37      180.401       840.78
   38      180.884        840.5
   39      181.366      840.231
   40      181.849      840.044
   41      182.332      839.882
   42      182.814      839.665
   43      183.297      839.445
   44      183.779      839.257
   45      184.262      839.069
   46      184.744      838.896
   47      185.226      838.721
   48      185.708      838.508
   49      186.191      838.301
   50      186.673      838.157
   51      187.155      838.339
   52      187.637      838.477
   53      188.119      838.543
   54        188.6      838.567
   55      189.082      838.265
   56      189.564      837.725
   57      190.046      837.376
   58      190.527      837.193
   59      191.009      837.116
   60      191.491       836.87
   61      191.972      836.656
   62      192.454        836.7
   63      192.935      836.722
   64      193.416      836.747
   65      193.897       836.71
   66      194.379      836.619
   67       194.86      836.522
   68      195.341      836.422
   69      195.822      836.351
   70      196.303       836.37
   71      196.784      836.597
   72      197.265      836.879
   73      197.746      837.047
   74      198.226      837.146
   75      198.707       837.17
   76      199.188      836.656
   77      199.668      835.779
   78      200.149      835.466
   79      200.629      835.659
   80       201.11      835.933
   81       201.59      836.288
   82       202.07      836.677
   83       202.55      836.984
   84      203.031      837.318
   85      203.511      837.326
   86      203.991      837.087
   87      204.471      836.371
   88      204.951      835.351
   89      205.431      834.798
   90       205.91      834.658
   91       206.39      834.724
   92       206.87      834.707
   93      207.349      834.767
   94      207.829      834.878
   95      208.309      834.961
   96      208.788      835.123
   97      209.267      835.253
   98      209.747      835.297
   99      210.226      835.231
  100      210.705      835.103
  101      211.185      835.059
  102      211.664        835.1
  103      212.143      835.235
  104      212.622      835.383
  105      213.101      835.458
  106      213.579      835.518
  107      214.058      835.594
  108      214.537      835.683
  109      215.016      835.824
