scansci Spectrometer Data File
--- Measurement Setting ---
Type: Sample Spectrum
Date: Fri Nov 22 17:55:14 2024
User: (Reserved by scansci)
Serial: (Reserved by scansci)
Channel: No. 11
Integration Time: 36
Average: 30
Boxcar: 50
Electrical Dark: No-corrected
Time Normalize: (Reserved by scansci)
Dual-beam: (Reserved by scansci)
Reference Ch: (Reserved by scansci)
--- Measurement Data ---
Pixel   Wavelength   Intensity
    0        162.5      800.563
    1      162.985      800.537
    2      163.469      800.521
    3      163.954      800.505
    4      164.439      800.481
    5      164.923      800.451
    6      165.408      800.439
    7      165.892      800.455
    8      166.377      800.473
    9      166.861      800.466
   10      167.345      800.433
   11       167.83      800.411
   12      168.314      800.394
   13      168.798      800.398
   14      169.282      800.422
   15      169.766      800.441
   16       170.25      800.462
   17      170.734      800.498
   18      171.218      800.537
   19      171.702      800.566
   20      172.185      800.573
   21      172.669      800.599
   22      173.153      800.642
   23      173.636      800.667
   24       174.12      800.667
   25      174.603      800.679
   26      175.087      800.722
   27       175.57      800.764
   28      176.053       800.79
   29      176.537      800.834
   30       177.02      800.881
   31      177.503      800.913
   32      177.986      800.927
   33      178.469      800.942
   34      178.952      800.975
   35      179.435      801.014
   36      179.918      801.035
   37      180.401      801.035
   38      180.884       801.04
   39      181.366      801.047
   40      181.849      801.065
   41      182.332       801.08
   42      182.814      801.089
   43      183.297      801.094
   44      183.779      801.082
   45      184.262      801.079
   46      184.744      801.089
   47      185.226      801.096
   48      185.708      801.104
   49      186.191      801.125
   50      186.673      801.148
   51      187.155      801.206
   52      187.637      801.213
   53      188.119      801.206
   54        188.6      801.199
   55      189.082      801.174
   56      189.564      801.123
   57      190.046      801.075
   58      190.527      801.055
   59      191.009      801.055
   60      191.491      801.053
   61      191.972       801.06
   62      192.454      801.111
   63      192.935      801.168
   64      193.416      801.204
   65      193.897      801.226
   66      194.379      801.227
   67       194.86      801.214
   68      195.341      801.219
   69      195.822      801.251
   70      196.303      801.284
   71      196.784      801.298
   72      197.265      801.303
   73      197.746      801.321
   74      198.226      801.342
   75      198.707      801.353
   76      199.188      801.315
   77      199.668      801.277
   78      200.149      801.297
   79      200.629      801.345
   80       201.11      801.387
   81       201.59      801.422
   82       202.07      801.458
   83       202.55      801.499
   84      203.031       801.53
   85      203.511      801.529
   86      203.991      801.498
   87      204.471      801.456
   88      204.951      801.425
   89      205.431       801.41
   90       205.91      801.438
   91       206.39      801.505
   92       206.87       801.57
   93      207.349       801.63
   94      207.829      801.678
   95      208.309      801.711
   96      208.788      801.741
   97      209.267      801.763
   98      209.747      801.772
   99      210.226      801.776
  100      210.705      801.777
  101      211.185      801.799
  102      211.664      801.822
  103      212.143      801.855
  104      212.622      801.888
  105      213.101      801.917
  106      213.579      801.948
  107      214.058      801.975
  108      214.537      801.985
  109      215.016      801.997
  110      215.494      802.018
  111      215.973      802.053
  112      216.452      802.095
  113       216.93      802.147
  114      217.408      802.177
  115      217.887      802.195
  116      218.365      802.217
  117      218.843      802.239
  118      219.321      802.233
  119      219.799      802.217
  120      220.278      802.234
  121      220.755      802.256
  122      221.233      802.251
  123      221.711      802.235
  124      222.189      802.226
  125      222.667      802.233
  126      223.144       802.25
  127      223.622      802.241
  128        224.1       802.21
  129      224.577      802.203
  130      225.055      802.186
  131      225.532      802.144
  132      226.009      802.108
  133      226.486      802.078
  134      226.964      802.045
  135      227.441      801.995
  136      227.918      801.947
  137      228.395      801.925
  138      228.872      801.926
  139      229.349      801.932
  140      229.826      801.925
  141      230.302      801.901
  142      230.779      801.883
  143      231.256      801.877
  144      231.732      801.879
  145      232.209      801.898
  146      232.685      801.894
  147      233.162      801.877
  148      233.638      801.867
  149      234.114      801.868
  150       234.59      801.855
  151      235.066      801.832
  152      235.543      801.817
  153      236.019      801.823
  154      236.495      801.842
  155       236.97      801.862
  156      237.446      801.883
  157      237.922      801.918
  158      238.398      801.961
  159      238.873      801.992
  160      239.349      802.031
  161      239.824      802.074
  162        240.3      802.099
  163      240.775      802.091
  164      241.251      802.079
  165      241.726      802.081
  166      242.201      802.105
  167      242.676      802.129
  168      243.151      802.141
  169      243.626      802.139
  170      244.101      802.135
  171      244.576       802.13
  172      245.051       802.12
  173      245.526      802.115
  174          246      802.121
  175      246.475      802.135
  176       246.95      802.131
  177      247.424      802.124
  178      247.899      802.121
  179      248.373      802.101
  180      248.847       802.06
  181      249.321      802.023
  182      249.796      801.996
  183       250.27      801.986
  184      250.744       802.01
  185      251.218       802.04
  186      251.692      802.076
  187      252.166      802.132
  188      252.639      802.178
  189      253.113      802.199
  190      253.587      802.212
  191       254.06      802.188
  192      254.534      802.145
  193      255.007      802.123
  194      255.481      802.096
  195      255.954      802.082
  196      256.427      802.085
  197      256.901      802.087
  198      257.374      802.107
  199      257.847      802.155
  200       258.32      802.207
  201      258.793      802.262
  202      259.266      802.298
  203      259.739      802.307
  204      260.211      802.291
  205      260.684      802.282
  206      261.157      802.286
  207      261.629      802.305
  208      262.102      802.335
  209      262.574      802.369
  210      263.046      802.383
  211      263.519      802.402
  212      263.991      802.425
  213      264.463      802.441
  214      264.935      802.446
  215      265.407      802.452
  216      265.879       802.45
  217      266.351      802.429
  218      266.823       802.41
  219      267.295      802.434
  220      267.766      802.479
  221      268.238      802.503
  222       268.71      802.516
  223      269.181      802.541
  224      269.653      802.554
  225      270.124      802.571
  226      270.595      802.586
  227      271.066      802.577
  228      271.538       802.57
  229      272.009      802.588
  230       272.48      802.608
  231      272.951      802.626
  232      273.422       802.66
  233      273.892      802.692
  234      274.363      802.727
  235      274.834      802.762
  236      275.305      802.797
  237      275.775      802.826
  238      276.246      802.853
  239      276.716      802.882
  240      277.186      802.886
  241      277.657      802.888
  242      278.127      802.914
  243      278.597      802.968
  244      279.067      803.023
  245      279.537      803.052
  246      280.007      803.074
  247      280.477       803.11
  248      280.947      803.136
  249      281.417      803.172
  250      281.886      803.201
  251      282.356      803.223
  252      282.825      803.244
  253      283.295      803.252
  254      283.764      803.246
  255      284.234      803.243
  256      284.703      803.255
  257      285.172      803.258
  258      285.641      803.256
  259       286.11      803.263
  260      286.579      803.276
  261      287.048      803.282
  262      287.517      803.265
  263      287.986      803.263
  264      288.454      803.284
  265      288.923      803.317
  266      289.392      803.356
  267       289.86       803.38
  268      290.329      803.428
  269      290.797      803.501
  270      291.265      803.546
  271      291.734      803.563
  272      292.202      803.578
  273       292.67      803.587
  274      293.138      803.582
  275      293.606      803.585
  276      294.074      803.608
  277      294.541      803.651
  278      295.009       803.71
  279      295.477      803.757
  280      295.944      803.789
  281      296.412       803.83
  282      296.879      803.863
  283      297.347      803.917
  284      297.814      803.971
  285      298.281      803.977
  286      298.749      803.991
  287      299.216      804.032
  288      299.683      804.068
  289       300.15      804.094
  290      300.616      804.131
  291      301.083      804.169
  292       301.55      804.213
  293      302.017      804.266
  294      302.483       804.31
  295       302.95      804.362
  296      303.416      804.397
  297      303.883       804.43
  298      304.349      804.466
  299      304.815      804.496
  300      305.281      804.517
  301      305.748      804.542
  302      306.214      804.552
  303       306.68      804.553
  304      307.146      804.578
  305      307.611      804.612
  306      308.077      804.645
  307      308.543      804.667
  308      309.008      804.658
  309      309.474      804.648
  310      309.939      804.647
  311      310.405      804.665
  312       310.87      804.679
  313      311.335      804.709
  314        311.8      804.755
  315      312.266      804.806
  316      312.731      804.861
  317      313.196      804.911
  318       313.66      804.968
  319      314.125      805.015
  320       314.59       805.03
  321      315.055      805.031
  322      315.519      805.014
  323      315.984      805.001
  324      316.448      804.987
  325      316.913      804.992
  326      317.377      805.011
  327      317.841      805.058
  328      318.305       805.11
  329      318.769      805.166
  330      319.233      805.212
  331      319.697      805.237
  332      320.161      805.293
  333      320.625      805.378
  334      321.089      805.451
  335      321.552      805.527
  336      322.016      805.598
  337      322.479      805.661
  338      322.943      805.721
  339      323.406      805.771
  340      323.869      805.806
  341      324.333       805.85
  342      324.796      805.904
  343      325.259      805.941
  344      325.722      805.948
  345      326.185      805.954
  346      326.647      805.982
  347       327.11      806.023
  348      327.573       806.06
  349      328.035      806.108
  350      328.498      806.158
  351       328.96      806.188
  352      329.423       806.22
  353      329.885      806.261
  354      330.347        806.3
  355       330.81      806.344
  356      331.272      806.378
  357      331.734      806.438
  358      332.196      806.532
  359      332.657      806.616
  360      333.119      806.695
  361      333.581       806.76
  362      334.043      806.807
  363      334.504      806.861
  364      334.966      806.909
  365      335.427      806.951
  366      335.888      806.982
  367       336.35      806.991
  368      336.811       807.02
  369      337.272       807.05
  370      337.733      807.057
  371      338.194      807.095
  372      338.655      807.166
  373      339.115      807.239
  374      339.576      807.308
  375      340.037      807.384
  376      340.497      807.439
  377      340.958      807.462
  378      341.418      807.486
  379      341.879      807.518
  380      342.339      807.562
  381      342.799      807.627
  382      343.259      807.702
  383      343.719      807.767
  384      344.179      807.792
  385      344.639      807.826
  386      345.099      807.908
  387      345.559      807.997
  388      346.018      808.071
  389      346.478      808.143
  390      346.937      808.214
  391      347.397      808.287
  392      347.856      808.372
  393      348.315      808.447
  394      348.774      808.516
  395      349.234      808.581
  396      349.693      808.645
  397      350.152      808.742
  398       350.61      808.844
  399      351.069      808.948
  400      351.528       809.04
  401      351.987      809.107
  402      352.445      809.157
  403      352.904      809.236
  404      353.362       809.34
  405       353.82      809.424
  406      354.279      809.513
  407      354.737      809.612
  408      355.195      809.718
  409      355.653      809.836
  410      356.111      809.953
  411      356.569      810.057
  412      357.027       810.15
  413      357.484      810.255
  414      357.942      810.339
  415      358.399      810.417
  416      358.857      810.486
  417      359.314      810.543
  418      359.772      810.615
  419      360.229      810.691
  420      360.686      810.768
  421      361.143       810.87
  422        361.6      810.998
  423      362.057      811.127
  424      362.514      811.262
  425      362.971      811.404
  426      363.427      811.524
  427      363.884      811.631
  428       364.34      811.713
  429      364.797      811.796
  430      365.253      811.889
  431      365.709      811.997
  432      366.166      812.124
  433      366.622      812.225
  434      367.078      812.306
  435      367.534      812.392
  436       367.99      812.477
  437      368.445      812.577
  438      368.901      812.678
  439      369.357       812.78
  440      369.812      812.887
  441      370.268      813.003
  442      370.723      813.128
  443      371.179      813.269
  444      371.634      813.415
  445      372.089      813.545
  446      372.544      813.667
  447      372.999      813.799
  448      373.454      813.925
  449      373.909       814.05
  450      374.364      814.183
  451      374.818      814.299
  452      375.273      814.432
  453      375.727      814.572
  454      376.182      814.717
  455      376.636      814.874
  456       377.09      815.041
  457      377.545      815.209
  458      377.999      815.346
  459      378.453      815.464
  460      378.907      815.596
  461      379.361      815.738
  462      379.814        815.9
  463      380.268      816.058
  464      380.722       816.22
  465      381.175      816.376
  466      381.629      816.531
  467      382.082      816.702
  468      382.535      816.893
  469      382.989      817.069
  470      383.442      817.235
  471      383.895      817.416
  472      384.348      817.596
  473      384.801      817.775
  474      385.253      817.963
  475      385.706      818.165
  476      386.159      818.387
  477      386.611      818.628
  478      387.064      818.888
  479      387.516      819.148
  480      387.968      819.388
  481      388.421      819.629
  482      388.873      819.863
  483      389.325      820.108
  484      389.777      820.378
  485      390.229      820.667
  486      390.681      820.985
  487      391.132      821.318
  488      391.584      821.647
  489      392.035      821.984
  490      392.487      822.328
  491      392.938      822.696
  492       393.39      823.075
  493      393.841      823.457
  494      394.292      823.905
  495      394.743      824.416
  496      395.194      824.946
  497      395.645      825.491
  498      396.096      826.044
  499      396.546      826.634
  500      396.997      827.264
  501      397.448      827.956
  502      397.898      828.717
  503      398.349      829.539
  504      398.799      830.414
  505      399.249      831.359
  506      399.699      832.436
  507      400.149      833.624
  508      400.599      834.902
  509      401.049      836.297
  510      401.499      837.827
  511      401.949      839.478
  512      402.398       841.26
  513      402.848      843.229
  514      403.297      845.403
  515      403.747      847.789
  516      404.196       850.41
  517      404.645      853.313
  518      405.094       856.53
  519      405.543      860.087
  520      405.992      864.006
  521      406.441      868.278
  522       406.89      872.897
  523      407.339       877.94
  524      407.787      883.467
  525      408.236      889.508
  526      408.684      896.182
  527      409.132      903.468
  528      409.581      911.375
  529      410.029      920.052
  530      410.477      929.572
  531      410.925      939.996
  532      411.373      951.374
  533      411.821      963.798
  534      412.269      977.424
  535      412.716      992.313
  536      413.164      1008.43
  537      413.611      1025.96
  538      414.059      1045.02
  539      414.506       1065.7
  540      414.953      1088.42
  541        415.4      1113.32
  542      415.847      1140.35
  543      416.294      1169.59
  544      416.741      1201.28
  545      417.188      1235.94
  546      417.635      1273.78
  547      418.081      1315.02
  548      418.528      1360.05
  549      418.974      1408.87
  550      419.421      1461.79
  551      419.867      1519.55
  552      420.313      1582.66
  553      420.759      1650.85
  554      421.205      1723.42
  555      421.651      1800.05
  556      422.097      1881.61
  557      422.543      1968.67
  558      422.989      2061.26
  559      423.434      2159.54
  560       423.88      2264.36
  561      424.325       2376.8
  562       424.77      2497.02
  563      425.216      2625.63
  564      425.661      2763.44
  565      426.106      2909.76
  566      426.551      3062.99
  567      426.996      3217.04
  568       427.44      3371.07
  569      427.885       3525.1
  570       428.33      3679.13
  571      428.774      3833.16
  572      429.219      3987.17
  573      429.663      4141.18
  574      430.107      4295.18
  575      430.551      4449.17
  576      430.996      4603.15
  577       431.44      4757.12
  578      431.883      4911.07
  579      432.327      5065.02
  580      432.771      5218.95
  581      433.215      5372.89
  582      433.658      5526.83
  583      434.102      5680.76
  584      434.545      5834.67
  585      434.988      5988.57
  586      435.431      6142.46
  587      435.875      6296.32
  588      436.318      6450.14
  589      436.761      6603.95
  590      437.203      6757.76
  591      437.646      6911.55
  592      438.089      7065.32
  593      438.531      7219.08
  594      438.974      7372.84
  595      439.416      7526.56
  596      439.859       7680.2
  597      440.301      7833.83
  598      440.743      7987.45
  599      441.185      8141.03
  600      441.627      8293.13
  601      442.069      8439.85
  602       442.51      8581.24
  603      442.952      8717.84
  604      443.394      8850.08
  605      443.835      8978.01
  606      444.277      9101.25
  607      444.718      9220.09
  608      445.159      9335.29
  609        445.6      9447.02
  610      446.041      9555.46
  611      446.482       9660.2
  612      446.923      9761.13
  613      447.364      9858.08
  614      447.804      9951.04
  615      448.245      10040.7
  616      448.685      10127.1
  617      449.126      10210.3
  618      449.566      10290.4
  619      450.006      10367.4
  620      450.447      10440.8
  621      450.887      10510.9
  622      451.326      10577.8
  623      451.766      10641.1
  624      452.206        10701
  625      452.646      10757.9
  626      453.085      10811.7
  627      453.525      10862.3
  628      453.964        10910
  629      454.403      10954.8
  630      454.843      10996.3
  631      455.282      11034.6
  632      455.721      11069.8
  633       456.16        11102
  634      456.599      11131.2
  635      457.037      11157.2
  636      457.476      11180.2
  637      457.915      11200.2
  638      458.353      11217.2
  639      458.791        11231
  640       459.23      11241.6
  641      459.668      11248.9
  642      460.106      11252.7
  643      460.544      11253.1
  644      460.982      11250.1
  645       461.42      11243.5
  646      461.857        11233
  647      462.295      11218.4
  648      462.733      11199.6
  649       463.17        11176
  650      463.607      11147.8
  651      464.045      11114.6
  652      464.482      11075.7
  653      464.919      11030.8
  654      465.356      10980.1
  655      465.793      10924.2
  656       466.23      10863.5
  657      466.666      10797.3
  658      467.103      10725.1
  659      467.539      10646.8
  660      467.976      10562.2
  661      468.412      10470.4
  662      468.848      10370.6
  663      469.284      10262.4
  664       469.72      10145.4
  665      470.156      10018.5
  666      470.592       9882.7
  667      471.028      9739.49
  668      471.464      9595.07
  669      471.899      9450.25
  670      472.335         9305
  671       472.77      9159.32
  672      473.205      9013.22
  673      473.641      8866.75
  674      474.076      8719.96
  675      474.511      8572.89
  676      474.946      8425.52
  677       475.38      8277.82
  678      475.815      8129.83
  679       476.25      7981.59
  680      476.684      7833.08
  681      477.119      7684.29
  682      477.553      7535.24
  683      477.987      7385.97
  684      478.421      7236.46
  685      478.856      7086.74
  686      479.289      6936.82
  687      479.723      6786.71
  688      480.157      6636.42
  689      480.591      6485.95
  690      481.024      6335.31
  691      481.458      6184.53
  692      481.891      6033.64
  693      482.324      5882.58
  694      482.758      5731.39
  695      483.191      5580.06
  696      483.624      5428.58
  697      484.057      5276.99
  698      484.489       5125.3
  699      484.922       4973.5
  700      485.355      4821.58
  701      485.787      4671.02
  702       486.22      4525.72
  703      486.652      4385.59
  704      487.084      4250.12
  705      487.516      4118.88
  706      487.948      3991.78
  707       488.38      3869.24
  708      488.812      3750.91
  709      489.244      3636.04
  710      489.676      3524.45
  711      490.107      3415.96
  712      490.539      3310.96
  713       490.97      3209.58
  714      491.401      3112.01
  715      491.832       3018.2
  716      492.263      2927.48
  717      492.694      2839.65
  718      493.125       2754.8
  719      493.556      2672.77
  720      493.987      2593.47
  721      494.417      2517.34
  722      494.848      2444.16
  723      495.278      2373.86
  724      495.708      2306.68
  725      496.139      2242.37
  726      496.569       2180.6
  727      496.999       2121.4
  728      497.429      2064.73
  729      497.858      2010.27
  730      498.288      1958.11
  731      498.718      1908.49
  732      499.147      1861.19
  733      499.577      1815.97
  734      500.006      1772.83
  735      500.435      1731.64
  736      500.864      1692.31
  737      501.293      1654.79
  738      501.722      1619.01
  739      502.151      1584.87
  740       502.58      1552.33
  741      503.008      1521.26
  742      503.437      1491.52
  743      503.865      1463.08
  744      504.293      1435.93
  745      504.722      1409.89
  746       505.15      1384.94
  747      505.578      1361.01
  748      506.006      1337.94
  749      506.434      1315.74
  750      506.861      1294.44
  751      507.289         1274
  752      507.716      1254.35
  753      508.144      1235.51
  754      508.571      1217.41
  755      508.998         1200
  756      509.425      1183.33
  757      509.852      1167.42
  758      510.279       1152.1
  759      510.706      1137.28
  760      511.133         1123
  761       511.56      1109.34
  762      511.986      1096.27
  763      512.412      1083.68
  764      512.839      1071.53
  765      513.265      1059.89
  766      513.691      1048.84
  767      514.117       1038.3
  768      514.543      1028.22
  769      514.969      1018.56
  770      515.395      1009.29
  771       515.82      1000.46
  772      516.246       992.05
  773      516.671      984.042
  774      517.096      976.368
  775      517.522      968.999
  776      517.947      961.911
  777      518.372       955.11
  778      518.797      948.645
  779      519.222      942.481
  780      519.646      936.565
  781      520.071      930.921
  782      520.495      925.566
  783       520.92      920.481
  784      521.344       915.61
  785      521.768      910.968
  786      522.192      906.537
  787      522.616      902.303
  788       523.04      898.253
  789      523.464      894.362
  790      523.888      890.642
  791      524.311       887.09
  792      524.735       883.67
  793      525.158      880.357
