scansci Spectrometer Data File
--- Measurement Setting ---
Type: Sample Spectrum
Date: Fri Nov 22 17:55:35 2024
User: (Reserved by scansci)
Serial: (Reserved by scansci)
Channel: No. 11
Integration Time: 36
Average: 30
Boxcar: 50
Electrical Dark: No-corrected
Time Normalize: (Reserved by scansci)
Dual-beam: (Reserved by scansci)
Reference Ch: (Reserved by scansci)
--- Measurement Data ---
Pixel   Wavelength   Intensity
    0        162.5      812.557
    1      162.985      812.513
    2      163.469      812.461
    3      163.954      812.406
    4      164.439      812.369
    5      164.923       812.36
    6      165.408      812.361
    7      165.892      812.364
    8      166.377      812.359
    9      166.861       812.32
   10      167.345      812.261
   11       167.83      812.231
   12      168.314      812.224
   13      168.798      812.229
   14      169.282      812.271
   15      169.766      812.342
   16       170.25      812.413
   17      170.734      812.479
   18      171.218      812.529
   19      171.702      812.563
   20      172.185      812.602
   21      172.669      812.653
   22      173.153        812.7
   23      173.636      812.716
   24       174.12      812.718
   25      174.603      812.721
   26      175.087      812.744
   27       175.57      812.776
   28      176.053      812.774
   29      176.537      812.762
   30       177.02      812.777
   31      177.503      812.794
   32      177.986        812.8
   33      178.469      812.792
   34      178.952      812.776
   35      179.435      812.772
   36      179.918      812.781
   37      180.401      812.785
   38      180.884      812.784
   39      181.366      812.783
   40      181.849      812.788
   41      182.332      812.792
   42      182.814      812.784
   43      183.297      812.771
   44      183.779      812.767
   45      184.262      812.752
   46      184.744      812.721
   47      185.226      812.692
   48      185.708      812.672
   49      186.191      812.671
   50      186.673      812.682
   51      187.155      812.779
   52      187.637      812.805
   53      188.119      812.806
   54        188.6      812.821
   55      189.082      812.843
   56      189.564      812.865
   57      190.046      812.889
   58      190.527      812.894
   59      191.009      812.892
   60      191.491      812.874
   61      191.972      812.846
   62      192.454      812.818
   63      192.935      812.784
   64      193.416      812.761
   65      193.897      812.761
   66      194.379      812.778
   67       194.86      812.801
   68      195.341      812.815
   69      195.822      812.836
   70      196.303      812.873
   71      196.784      812.923
   72      197.265      812.984
   73      197.746      813.043
   74      198.226      813.071
   75      198.707      813.067
   76      199.188      813.035
   77      199.668      812.985
   78      200.149      812.986
   79      200.629      813.024
   80       201.11      813.069
   81       201.59      813.116
   82       202.07      813.153
   83       202.55      813.177
   84      203.031      813.201
   85      203.511      813.216
   86      203.991      813.208
   87      204.471      813.191
   88      204.951      813.167
   89      205.431      813.165
   90       205.91      813.188
   91       206.39      813.208
   92       206.87      813.205
   93      207.349      813.197
   94      207.829      813.198
   95      208.309      813.198
   96      208.788      813.214
   97      209.267      813.251
   98      209.747      813.266
   99      210.226      813.267
  100      210.705      813.289
  101      211.185      813.328
  102      211.664      813.382
  103      212.143      813.436
  104      212.622      813.486
  105      213.101      813.539
  106      213.579      813.579
  107      214.058      813.593
  108      214.537      813.599
  109      215.016       813.62
  110      215.494      813.657
  111      215.973      813.702
  112      216.452      813.739
  113       216.93      813.758
  114      217.408      813.756
  115      217.887       813.73
  116      218.365      813.695
  117      218.843       813.67
  118      219.321      813.641
  119      219.799      813.628
  120      220.278      813.627
  121      220.755      813.606
  122      221.233      813.574
  123      221.711      813.549
  124      222.189      813.546
  125      222.667      813.556
  126      223.144      813.571
  127      223.622      813.571
  128        224.1      813.561
  129      224.577      813.585
  130      225.055      813.616
  131      225.532      813.612
  132      226.009      813.586
  133      226.486      813.554
  134      226.964      813.536
  135      227.441      813.532
  136      227.918      813.536
  137      228.395      813.541
  138      228.872      813.564
  139      229.349      813.598
  140      229.826      813.634
  141      230.302      813.661
  142      230.779      813.678
  143      231.256      813.699
  144      231.732      813.707
  145      232.209      813.704
  146      232.685      813.718
  147      233.162      813.754
  148      233.638      813.784
  149      234.114      813.809
  150       234.59      813.826
  151      235.066      813.838
  152      235.543      813.856
  153      236.019      813.872
  154      236.495      813.893
  155       236.97       813.91
  156      237.446      813.929
  157      237.922      813.942
  158      238.398      813.946
  159      238.873      813.945
  160      239.349       813.96
  161      239.824      813.974
  162        240.3      813.976
  163      240.775      813.983
  164      241.251      814.011
  165      241.726      814.049
  166      242.201       814.08
  167      242.676      814.091
  168      243.151      814.102
  169      243.626      814.116
  170      244.101       814.13
  171      244.576      814.137
  172      245.051      814.122
  173      245.526      814.089
  174          246      814.076
  175      246.475      814.079
  176       246.95      814.092
  177      247.424      814.113
  178      247.899      814.124
  179      248.373      814.112
  180      248.847      814.068
  181      249.321      814.026
  182      249.796          814
  183       250.27      813.987
  184      250.744      814.013
  185      251.218      814.048
  186      251.692      814.068
  187      252.166      814.096
  188      252.639      814.131
  189      253.113      814.146
  190      253.587      814.148
  191       254.06      814.148
  192      254.534      814.152
  193      255.007      814.164
  194      255.481      814.162
  195      255.954      814.162
  196      256.427      814.163
  197      256.901      814.156
  198      257.374      814.153
  199      257.847      814.157
  200       258.32      814.181
  201      258.793      814.203
  202      259.266      814.221
  203      259.739      814.225
  204      260.211      814.218
  205      260.684      814.216
  206      261.157      814.204
  207      261.629       814.19
  208      262.102      814.187
  209      262.574      814.175
  210      263.046      814.158
  211      263.519      814.164
  212      263.991      814.173
  213      264.463      814.166
  214      264.935      814.173
  215      265.407      814.193
  216      265.879      814.207
  217      266.351      814.217
  218      266.823      814.219
  219      267.295      814.224
  220      267.766      814.225
  221      268.238      814.229
  222       268.71      814.253
  223      269.181       814.28
  224      269.653        814.3
  225      270.124      814.321
  226      270.595      814.339
  227      271.066      814.331
  228      271.538      814.306
  229      272.009      814.288
  230       272.48      814.275
  231      272.951      814.262
  232      273.422      814.262
  233      273.892      814.283
  234      274.363      814.331
  235      274.834      814.392
  236      275.305      814.459
  237      275.775      814.507
  238      276.246      814.517
  239      276.716      814.499
  240      277.186      814.481
  241      277.657      814.476
  242      278.127      814.472
  243      278.597      814.473
  244      279.067       814.48
  245      279.537      814.509
  246      280.007      814.547
  247      280.477      814.571
  248      280.947      814.584
  249      281.417       814.61
  250      281.886      814.635
  251      282.356      814.655
  252      282.825      814.675
  253      283.295      814.695
  254      283.764      814.711
  255      284.234      814.724
  256      284.703      814.725
  257      285.172      814.709
  258      285.641        814.7
  259       286.11      814.704
  260      286.579      814.727
  261      287.048       814.75
  262      287.517      814.768
  263      287.986      814.787
  264      288.454      814.813
  265      288.923      814.852
  266      289.392      814.892
  267       289.86      814.912
  268      290.329      814.943
  269      290.797      814.995
  270      291.265      815.045
  271      291.734      815.077
  272      292.202      815.092
  273       292.67      815.107
  274      293.138      815.126
  275      293.606      815.136
  276      294.074      815.131
  277      294.541      815.123
  278      295.009      815.141
  279      295.477      815.175
  280      295.944      815.202
  281      296.412      815.248
  282      296.879      815.298
  283      297.347      815.341
  284      297.814      815.371
  285      298.281      815.365
  286      298.749      815.349
  287      299.216      815.377
  288      299.683      815.413
  289       300.15      815.427
  290      300.616      815.452
  291      301.083      815.498
  292       301.55      815.562
  293      302.017       815.62
  294      302.483      815.668
  295       302.95      815.717
  296      303.416      815.752
  297      303.883      815.789
  298      304.349      815.843
  299      304.815      815.897
  300      305.281      815.941
  301      305.748      815.958
  302      306.214      815.967
  303       306.68      815.961
  304      307.146      815.959
  305      307.611      815.992
  306      308.077       816.03
  307      308.543      816.054
  308      309.008      816.066
  309      309.474       816.09
  310      309.939      816.139
  311      310.405      816.191
  312       310.87       816.23
  313      311.335      816.264
  314        311.8      816.316
  315      312.266      816.373
  316      312.731      816.424
  317      313.196      816.494
  318       313.66      816.564
  319      314.125      816.623
  320       314.59      816.687
  321      315.055       816.75
  322      315.519      816.788
  323      315.984      816.819
  324      316.448      816.867
  325      316.913      816.928
  326      317.377      816.995
  327      317.841      817.056
  328      318.305      817.117
  329      318.769      817.195
  330      319.233      817.278
  331      319.697      817.355
  332      320.161      817.464
  333      320.625      817.582
  334      321.089      817.675
  335      321.552      817.753
  336      322.016      817.807
  337      322.479      817.834
  338      322.943      817.859
  339      323.406      817.911
  340      323.869       817.99
  341      324.333      818.082
  342      324.796       818.16
  343      325.259      818.225
  344      325.722      818.294
  345      326.185      818.357
  346      326.647      818.408
  347       327.11      818.461
  348      327.573      818.524
  349      328.035      818.588
  350      328.498      818.647
  351       328.96      818.705
  352      329.423       818.76
  353      329.885      818.806
  354      330.347      818.863
  355       330.81      818.926
  356      331.272      818.979
  357      331.734      819.074
  358      332.196      819.197
  359      332.657      819.313
  360      333.119      819.424
  361      333.581      819.513
  362      334.043      819.585
  363      334.504      819.649
  364      334.966      819.706
  365      335.427      819.758
  366      335.888      819.796
  367       336.35      819.837
  368      336.811       819.89
  369      337.272       819.95
  370      337.733      819.992
  371      338.194      820.034
  372      338.655       820.08
  373      339.115      820.152
  374      339.576      820.234
  375      340.037      820.307
  376      340.497      820.383
  377      340.958       820.47
  378      341.418      820.558
  379      341.879      820.623
  380      342.339      820.674
  381      342.799      820.741
  382      343.259      820.818
  383      343.719      820.894
  384      344.179       820.96
  385      344.639      821.025
  386      345.099      821.108
  387      345.559      821.203
  388      346.018       821.28
  389      346.478      821.358
  390      346.937      821.448
  391      347.397      821.528
  392      347.856      821.608
  393      348.315      821.661
  394      348.774      821.707
  395      349.234       821.76
  396      349.693      821.829
  397      350.152      821.928
  398       350.61      822.032
  399      351.069      822.116
  400      351.528      822.191
  401      351.987       822.27
  402      352.445      822.362
  403      352.904      822.468
  404      353.362      822.598
  405       353.82      822.723
  406      354.279       822.83
  407      354.737      822.932
  408      355.195      823.051
  409      355.653      823.173
  410      356.111      823.288
  411      356.569        823.4
  412      357.027      823.492
  413      357.484      823.594
  414      357.942      823.717
  415      358.399      823.841
  416      358.857      823.956
  417      359.314      824.063
  418      359.772      824.163
  419      360.229      824.259
  420      360.686      824.351
  421      361.143      824.444
  422        361.6      824.541
  423      362.057      824.668
  424      362.514      824.806
  425      362.971      824.933
  426      363.427      825.041
  427      363.884      825.141
  428       364.34      825.244
  429      364.797       825.36
  430      365.253      825.473
  431      365.709      825.576
  432      366.166      825.675
  433      366.622      825.751
  434      367.078      825.844
  435      367.534      825.958
  436       367.99       826.06
  437      368.445      826.172
  438      368.901      826.297
  439      369.357      826.428
  440      369.812      826.554
  441      370.268      826.672
  442      370.723      826.768
  443      371.179      826.866
  444      371.634      826.974
  445      372.089      827.077
  446      372.544      827.193
  447      372.999      827.334
  448      373.454      827.466
  449      373.909      827.588
  450      374.364      827.726
  451      374.818      827.873
  452      375.273      828.019
  453      375.727      828.164
  454      376.182       828.31
  455      376.636      828.425
  456       377.09      828.523
  457      377.545      828.637
  458      377.999       828.74
  459      378.453      828.841
  460      378.907      828.949
  461      379.361      829.055
  462      379.814      829.178
  463      380.268      829.319
  464      380.722      829.474
  465      381.175      829.625
  466      381.629       829.77
  467      382.082      829.917
  468      382.535      830.058
  469      382.989      830.207
  470      383.442      830.344
  471      383.895      830.486
  472      384.348       830.63
  473      384.801      830.787
  474      385.253      830.946
  475      385.706      831.116
  476      386.159      831.289
  477      386.611      831.458
  478      387.064      831.639
  479      387.516       831.84
  480      387.968      832.035
  481      388.421      832.231
  482      388.873      832.427
  483      389.325      832.604
  484      389.777      832.773
  485      390.229      832.968
  486      390.681      833.233
  487      391.132      833.517
  488      391.584      833.779
  489      392.035      834.026
  490      392.487      834.241
  491      392.938      834.455
  492       393.39      834.685
  493      393.841      834.926
  494      394.292      835.192
  495      394.743      835.473
  496      395.194      835.759
  497      395.645      836.043
  498      396.096      836.327
  499      396.546      836.631
  500      396.997      836.943
  501      397.448      837.257
  502      397.898      837.595
  503      398.349      837.948
  504      398.799      838.317
  505      399.249      838.707
  506      399.699      839.099
  507      400.149      839.485
  508      400.599        839.9
  509      401.049      840.335
  510      401.499      840.813
  511      401.949      841.321
  512      402.398       841.86
  513      402.848      842.472
  514      403.297      843.117
  515      403.747      843.783
  516      404.196      844.487
  517      404.645      845.239
  518      405.094      846.056
  519      405.543      846.938
  520      405.992      847.895
  521      406.441      848.935
  522       406.89      850.045
  523      407.339      851.248
  524      407.787      852.539
  525      408.236      853.911
  526      408.684      855.415
  527      409.132      857.052
  528      409.581      858.791
  529      410.029      860.662
  530      410.477      862.691
  531      410.925      864.893
  532      411.373      867.279
  533      411.821      869.867
  534      412.269      872.661
  535      412.716      875.646
  536      413.164      878.838
  537      413.611      882.255
  538      414.059      885.927
  539      414.506      889.885
  540      414.953      894.202
  541        415.4      898.883
  542      415.847      903.893
  543      416.294       909.26
  544      416.741      915.021
  545      417.188      921.252
  546      417.635      927.983
  547      418.081      935.253
  548      418.528      943.134
  549      418.974      951.647
  550      419.421      960.788
  551      419.867      970.679
  552      420.313      981.418
  553      420.759       992.95
  554      421.205      1005.15
  555      421.651      1017.94
  556      422.097      1031.51
  557      422.543      1045.98
  558      422.989      1061.32
  559      423.434      1077.62
  560       423.88      1095.03
  561      424.325       1113.8
  562       424.77      1134.01
  563      425.216       1155.8
  564      425.661      1179.41
  565      426.106      1204.84
  566      426.551      1231.98
  567      426.996      1261.07
  568       427.44      1292.08
  569      427.885      1324.77
  570       428.33      1359.49
  571      428.774      1396.46
  572      429.219       1435.6
  573      429.663      1477.06
  574      430.107      1520.86
  575      430.551      1567.14
  576      430.996      1616.19
  577       431.44      1668.17
  578      431.883       1723.1
  579      432.327      1781.36
  580      432.771      1843.25
  581      433.215      1908.36
  582      433.658      1976.73
  583      434.102      2048.61
  584      434.545       2124.4
  585      434.988      2204.14
  586      435.431      2287.34
  587      435.875      2374.47
  588      436.318      2466.07
  589      436.761      2561.44
  590      437.203      2660.34
  591      437.646      2763.79
  592      438.089      2871.95
  593      438.531       2984.1
  594      438.974       3100.2
  595      439.416      3220.65
  596      439.859      3345.55
  597      440.301      3474.44
  598      440.743      3606.25
  599      441.185      3741.72
  600      441.627      3880.57
  601      442.069      4021.08
  602       442.51      4163.34
  603      442.952      4307.83
  604      443.394      4454.61
  605      443.835      4603.02
  606      444.277      4751.89
  607      444.718      4900.89
  608      445.159      5050.55
  609        445.6      5200.85
  610      446.041      5351.66
  611      446.482      5501.93
  612      446.923      5650.91
  613      447.364      5797.98
  614      447.804      5942.77
  615      448.245       6085.9
  616      448.685      6227.37
  617      449.126      6366.47
  618      449.566      6503.08
  619      450.006      6637.29
  620      450.447      6768.34
  621      450.887      6896.13
  622      451.326      7020.44
  623      451.766      7140.78
  624      452.206      7257.41
  625      452.646       7370.6
  626      453.085      7480.22
  627      453.525      7585.85
  628      453.964      7687.84
  629      454.403      7786.08
  630      454.843      7880.14
  631      455.282      7970.62
  632      455.721      8057.84
  633       456.16      8141.71
  634      456.599      8222.32
  635      457.037      8299.78
  636      457.476      8374.37
  637      457.915      8446.24
  638      458.353      8515.42
  639      458.791      8581.76
  640       459.23      8645.39
  641      459.668      8706.35
  642      460.106      8764.68
  643      460.544       8820.5
  644      460.982      8874.08
  645       461.42      8925.25
  646      461.857      8974.21
  647      462.295      9021.12
  648      462.733      9065.78
  649       463.17      9107.97
  650      463.607      9147.82
  651      464.045      9185.37
  652      464.482      9220.33
  653      464.919      9252.77
  654      465.356      9282.78
  655      465.793      9310.45
  656       466.23      9335.87
  657      466.666      9359.11
  658      467.103      9380.22
  659      467.539      9399.26
  660      467.976      9415.86
  661      468.412      9429.91
  662      468.848      9441.38
  663      469.284      9450.34
  664       469.72      9456.69
  665      470.156      9459.99
  666      470.592      9460.25
  667      471.028      9457.65
  668      471.464      9452.18
  669      471.899      9443.92
  670      472.335      9433.08
  671       472.77      9419.24
  672      473.205      9402.13
  673      473.641      9381.95
  674      474.076      9358.69
  675      474.511      9332.36
  676      474.946      9302.82
  677       475.38      9269.75
  678      475.815       9233.1
  679       476.25      9192.84
  680      476.684      9148.62
  681      477.119      9100.09
  682      477.553      9047.79
  683      477.987      8991.75
  684      478.421      8931.63
  685      478.856      8867.11
  686      479.289      8798.23
  687      479.723      8725.41
  688      480.157      8648.12
  689      480.591      8565.92
  690      481.024       8479.6
  691      481.458      8389.43
  692      481.891      8294.42
  693      482.324      8194.31
  694      482.758      8089.86
  695      483.191      7981.11
  696      483.624      7867.68
  697      484.057      7749.49
  698      484.489         7627
  699      484.922      7501.29
  700      485.355      7371.58
  701      485.787      7238.26
  702       486.22      7103.07
  703      486.652      6965.91
  704      487.084      6826.24
  705      487.516      6684.01
  706      487.948      6539.93
  707       488.38      6395.16
  708      488.812      6250.09
  709      489.244      6104.22
  710      489.676      5957.48
  711      490.107      5810.02
  712      490.539      5662.91
  713       490.97      5516.93
  714      491.401      5372.67
  715      491.832       5230.5
  716      492.263      5089.81
  717      492.694      4950.61
  718      493.125      4813.62
  719      493.556      4678.96
  720      493.987      4546.53
  721      494.417      4417.14
  722      494.848      4290.83
  723      495.278      4167.84
  724      495.708      4048.63
  725      496.139      3932.94
  726      496.569      3820.48
  727      496.999      3711.43
  728      497.429      3606.14
  729      497.858      3504.28
  730      498.288      3406.02
  731      498.718      3311.76
  732      499.147      3220.87
  733      499.577         3133
  734      500.006      3048.27
  735      500.435      2966.53
  736      500.864      2887.66
  737      501.293      2811.38
  738      501.722      2737.56
  739      502.151       2666.2
  740       502.58      2597.35
  741      503.008      2530.88
  742      503.437      2466.66
  743      503.865      2404.68
  744      504.293      2344.85
  745      504.722      2286.87
  746       505.15      2230.85
  747      505.578      2176.55
  748      506.006      2123.79
  749      506.434      2072.72
  750      506.861      2023.44
  751      507.289      1975.83
  752      507.716      1929.86
  753      508.144      1885.67
  754      508.571      1843.11
  755      508.998      1802.15
  756      509.425      1762.86
  757      509.852      1725.21
  758      510.279      1688.97
  759      510.706      1653.93
  760      511.133      1620.07
  761       511.56      1587.67
  762      511.986      1556.67
  763      512.412      1526.86
  764      512.839      1498.08
  765      513.265      1470.32
  766      513.691      1443.78
  767      514.117      1418.43
  768      514.543      1394.21
  769      514.969      1370.91
  770      515.395      1348.46
  771       515.82      1326.87
  772      516.246      1306.24
  773      516.671      1286.62
  774      517.096       1267.9
  775      517.522      1249.92
  776      517.947      1232.65
  777      518.372      1216.09
  778      518.797      1200.22
  779      519.222      1185.02
  780      519.646      1170.45
  781      520.071      1156.49
  782      520.495      1143.18
  783       520.92      1130.46
  784      521.344      1118.21
  785      521.768      1106.48
  786      522.192      1095.24
  787      522.616      1084.42
  788       523.04      1074.04
  789      523.464      1064.12
  790      523.888      1054.61
  791      524.311      1045.47
  792      524.735      1036.62
  793      525.158      1028.12
  794      525.581         1020
  795      526.005      1012.22
  796      526.428      1004.78
  797      526.851      997.668
  798      527.274      990.809
  799      527.696      984.225
  800      528.119      977.945
  801      528.542       971.98
  802      528.964      966.253
  803      529.386      960.699
  804      529.809      955.363
  805      530.231      950.305
  806      530.653      945.484
  807      531.075      940.854
