scansci Spectrometer Data File
--- Measurement Setting ---
Type: Sample Spectrum
Date: Fri Nov 22 17:54:50 2024
User: (Reserved by scansci)
Serial: (Reserved by scansci)
Channel: No. 11
Integration Time: 36
Average: 30
Boxcar: 50
Electrical Dark: No-corrected
Time Normalize: (Reserved by scansci)
Dual-beam: (Reserved by scansci)
Reference Ch: (Reserved by scansci)
--- Measurement Data ---
Pixel   Wavelength   Intensity
    0        162.5      822.188
    1      162.985      822.183
    2      163.469      822.157
    3      163.954      822.125
    4      164.439      822.119
    5      164.923      822.127
    6      165.408      822.105
    7      165.892      822.101
    8      166.377      822.131
    9      166.861      822.169
   10      167.345      822.187
   11       167.83      822.211
   12      168.314      822.247
   13      168.798      822.297
   14      169.282      822.349
   15      169.766      822.407
   16       170.25      822.485
   17      170.734      822.563
   18      171.218      822.632
   19      171.702       822.68
   20      172.185      822.718
   21      172.669       822.77
   22      173.153      822.815
   23      173.636      822.843
   24       174.12      822.854
   25      174.603      822.874
   26      175.087      822.915
   27       175.57      822.961
   28      176.053      822.988
   29      176.537      822.989
   30       177.02       822.99
   31      177.503       822.99
   32      177.986      822.987
   33      178.469      822.998
   34      178.952      823.026
   35      179.435       823.05
   36      179.918      823.055
   37      180.401      823.058
   38      180.884      823.069
   39      181.366      823.086
   40      181.849      823.096
   41      182.332      823.099
   42      182.814      823.088
   43      183.297      823.065
   44      183.779      823.042
   45      184.262      823.008
   46      184.744      822.976
   47      185.226      822.944
   48      185.708      822.923
   49      186.191      822.913
   50      186.673      822.907
   51      187.155      823.023
   52      187.637      823.061
   53      188.119      823.104
   54        188.6      823.147
   55      189.082      823.167
   56      189.564      823.172
   57      190.046      823.184
   58      190.527      823.186
   59      191.009      823.193
   60      191.491      823.191
   61      191.972      823.206
   62      192.454      823.243
   63      192.935      823.262
   64      193.416      823.267
   65      193.897      823.269
   66      194.379      823.274
   67       194.86      823.276
   68      195.341      823.263
   69      195.822      823.233
   70      196.303      823.205
   71      196.784      823.209
   72      197.265      823.232
   73      197.746      823.251
   74      198.226      823.261
   75      198.707      823.279
   76      199.188      823.262
   77      199.668      823.234
   78      200.149      823.246
   79      200.629      823.305
   80       201.11      823.373
   81       201.59      823.428
   82       202.07       823.48
   83       202.55      823.528
   84      203.031      823.583
   85      203.511       823.61
   86      203.991      823.606
   87      204.471      823.591
   88      204.951      823.583
   89      205.431      823.578
   90       205.91      823.587
   91       206.39      823.623
   92       206.87       823.64
   93      207.349      823.658
   94      207.829      823.678
   95      208.309      823.677
   96      208.788      823.668
   97      209.267      823.647
   98      209.747      823.626
   99      210.226      823.624
  100      210.705      823.624
  101      211.185      823.634
  102      211.664      823.652
  103      212.143      823.689
  104      212.622      823.735
  105      213.101      823.768
  106      213.579       823.78
  107      214.058      823.794
  108      214.537      823.788
  109      215.016       823.76
  110      215.494      823.739
  111      215.973      823.735
  112      216.452      823.722
  113       216.93      823.698
  114      217.408       823.67
  115      217.887      823.639
  116      218.365      823.602
  117      218.843      823.557
  118      219.321      823.501
  119      219.799      823.458
  120      220.278      823.446
  121      220.755      823.437
  122      221.233      823.406
  123      221.711      823.373
  124      222.189       823.34
  125      222.667      823.316
  126      223.144      823.289
  127      223.622       823.25
  128        224.1      823.206
  129      224.577      823.174
  130      225.055      823.176
  131      225.532      823.183
  132      226.009       823.19
  133      226.486      823.195
  134      226.964      823.174
  135      227.441      823.136
  136      227.918      823.111
  137      228.395      823.113
  138      228.872      823.117
  139      229.349      823.102
  140      229.826      823.099
  141      230.302      823.109
  142      230.779      823.119
  143      231.256      823.158
  144      231.732        823.2
  145      232.209      823.232
  146      232.685      823.265
  147      233.162      823.275
  148      233.638       823.28
  149      234.114      823.276
  150       234.59      823.267
  151      235.066      823.263
  152      235.543      823.266
  153      236.019      823.268
  154      236.495      823.262
  155       236.97      823.269
  156      237.446      823.302
  157      237.922      823.339
  158      238.398      823.372
  159      238.873      823.409
  160      239.349      823.463
  161      239.824      823.518
  162        240.3      823.554
  163      240.775      823.584
  164      241.251      823.629
  165      241.726      823.694
  166      242.201      823.754
  167      242.676      823.797
  168      243.151      823.833
  169      243.626      823.874
  170      244.101      823.922
  171      244.576      823.966
  172      245.051      823.995
  173      245.526      824.009
  174          246      824.022
  175      246.475      824.037
  176       246.95       824.04
  177      247.424      824.042
  178      247.899      824.062
  179      248.373      824.065
  180      248.847      824.018
  181      249.321       823.98
  182      249.796      823.965
  183       250.27      823.969
  184      250.744      823.991
  185      251.218       824.02
  186      251.692      824.052
  187      252.166      824.083
  188      252.639      824.123
  189      253.113      824.132
  190      253.587      824.138
  191       254.06      824.149
  192      254.534      824.161
  193      255.007      824.193
  194      255.481      824.217
  195      255.954      824.233
  196      256.427      824.266
  197      256.901      824.304
  198      257.374      824.364
  199      257.847      824.436
  200       258.32      824.496
  201      258.793      824.543
  202      259.266      824.579
  203      259.739      824.594
  204      260.211      824.588
  205      260.684      824.601
  206      261.157       824.65
  207      261.629      824.719
  208      262.102      824.801
  209      262.574      824.887
  210      263.046       824.97
  211      263.519      825.042
  212      263.991      825.121
  213      264.463      825.222
  214      264.935      825.336
  215      265.407      825.434
  216      265.879      825.528
  217      266.351      825.639
  218      266.823      825.728
  219      267.295      825.812
  220      267.766      825.902
  221      268.238      825.985
  222       268.71      826.059
  223      269.181      826.141
  224      269.653      826.232
  225      270.124      826.336
  226      270.595      826.448
  227      271.066      826.566
  228      271.538      826.681
  229      272.009      826.799
  230       272.48       826.93
  231      272.951       827.04
  232      273.422       827.13
  233      273.892      827.224
  234      274.363      827.339
  235      274.834      827.458
  236      275.305      827.574
  237      275.775      827.686
  238      276.246      827.775
  239      276.716      827.861
  240      277.186      827.964
  241      277.657      828.049
  242      278.127      828.148
  243      278.597       828.29
  244      279.067      828.429
  245      279.537      828.557
  246      280.007       828.69
  247      280.477       828.83
  248      280.947      829.009
  249      281.417      829.207
  250      281.886      829.387
  251      282.356      829.545
  252      282.825      829.698
  253      283.295      829.843
  254      283.764      829.985
  255      284.234      830.138
  256      284.703      830.266
  257      285.172      830.396
  258      285.641      830.529
  259       286.11      830.659
  260      286.579      830.768
  261      287.048      830.858
  262      287.517      830.959
  263      287.986      831.062
  264      288.454      831.175
  265      288.923      831.305
  266      289.392      831.427
  267       289.86      831.544
  268      290.329      831.687
  269      290.797      831.851
  270      291.265      832.001
  271      291.734       832.15
  272      292.202      832.311
  273       292.67      832.456
  274      293.138      832.595
  275      293.606      832.746
  276      294.074      832.904
  277      294.541      833.077
  278      295.009      833.256
  279      295.477      833.437
  280      295.944      833.625
  281      296.412      833.826
  282      296.879      834.017
  283      297.347      834.218
  284      297.814      834.412
  285      298.281      834.566
  286      298.749      834.704
  287      299.216      834.881
  288      299.683      835.095
  289       300.15       835.29
  290      300.616      835.492
  291      301.083      835.699
  292       301.55      835.901
  293      302.017      836.094
  294      302.483      836.292
  295       302.95      836.483
  296      303.416      836.682
  297      303.883      836.913
  298      304.349      837.171
  299      304.815      837.411
  300      305.281      837.628
  301      305.748      837.856
  302      306.214       838.09
  303       306.68      838.315
  304      307.146      838.573
  305      307.611      838.856
  306      308.077       839.11
  307      308.543      839.314
  308      309.008      839.501
  309      309.474      839.692
  310      309.939      839.913
  311      310.405      840.141
  312       310.87      840.383
  313      311.335      840.616
  314        311.8      840.844
  315      312.266      841.062
  316      312.731      841.276
  317      313.196      841.486
  318       313.66      841.684
  319      314.125      841.909
  320       314.59      842.152
  321      315.055       842.39
  322      315.519      842.611
  323      315.984      842.828
  324      316.448      843.053
  325      316.913      843.288
  326      317.377      843.537
  327      317.841      843.793
  328      318.305       844.05
  329      318.769      844.303
  330      319.233      844.553
  331      319.697      844.801
  332      320.161      845.096
  333      320.625      845.418
  334      321.089      845.707
  335      321.552      845.982
  336      322.016      846.263
  337      322.479      846.559
  338      322.943      846.865
  339      323.406      847.181
  340      323.869      847.477
  341      324.333      847.765
  342      324.796      848.058
  343      325.259      848.336
  344      325.722      848.592
  345      326.185       848.86
  346      326.647      849.168
  347       327.11      849.486
  348      327.573      849.804
  349      328.035      850.124
  350      328.498      850.456
  351       328.96      850.775
  352      329.423      851.098
  353      329.885      851.422
  354      330.347      851.755
  355       330.81      852.077
  356      331.272      852.388
  357      331.734      852.759
  358      332.196      853.145
  359      332.657      853.539
  360      333.119      853.948
  361      333.581      854.372
  362      334.043      854.804
  363      334.504      855.216
  364      334.966      855.605
  365      335.427      855.977
  366      335.888      856.354
  367       336.35       856.75
  368      336.811      857.165
  369      337.272      857.591
  370      337.733      858.016
  371      338.194      858.441
  372      338.655      858.884
