scansci Spectrometer Data File
--- Measurement Setting ---
Type: Sample Spectrum
Date: Fri Nov 22 17:59:04 2024
User: (Reserved by scansci)
Serial: (Reserved by scansci)
Channel: No. 11
Integration Time: 100
Average: 30
Boxcar: 50
Electrical Dark: No-corrected
Time Normalize: (Reserved by scansci)
Dual-beam: (Reserved by scansci)
Reference Ch: (Reserved by scansci)
--- Measurement Data ---
Pixel   Wavelength   Intensity
    0        162.5      822.286
    1      162.985      822.228
    2      163.469      822.175
    3      163.954      822.143
    4      164.439      822.093
    5      164.923      822.027
    6      165.408      821.967
    7      165.892      821.929
    8      166.377      821.909
    9      166.861      821.889
   10      167.345      821.854
   11       167.83      821.817
   12      168.314      821.816
   13      168.798      821.849
   14      169.282      821.903
   15      169.766      821.973
   16       170.25      822.082
   17      170.734      822.189
   18      171.218      822.259
   19      171.702      822.309
   20      172.185      822.325
   21      172.669      822.349
   22      173.153      822.387
   23      173.636      822.392
   24       174.12       822.36
   25      174.603      822.355
   26      175.087      822.408
   27       175.57      822.462
   28      176.053      822.476
   29      176.537      822.484
   30       177.02        822.5
   31      177.503      822.497
   32      177.986      822.467
   33      178.469      822.433
   34      178.952      822.425
   35      179.435      822.409
   36      179.918      822.372
   37      180.401      822.339
   38      180.884      822.319
   39      181.366      822.295
   40      181.849      822.277
   41      182.332      822.262
   42      182.814      822.238
   43      183.297      822.206
   44      183.779      822.168
   45      184.262      822.118
   46      184.744      822.075
   47      185.226      822.035
   48      185.708      821.985
   49      186.191      821.941
   50      186.673      821.925
   51      187.155      822.175
   52      187.637      822.323
   53      188.119      822.404
   54        188.6      822.455
   55      189.082      822.434
   56      189.564      822.362
   57      190.046      822.338
   58      190.527      822.356
   59      191.009      822.397
   60      191.491      822.399
   61      191.972      822.386
   62      192.454      822.408
   63      192.935      822.413
   64      193.416      822.424
   65      193.897       822.44
   66      194.379      822.421
   67       194.86      822.388
   68      195.341       822.36
   69      195.822      822.344
   70      196.303      822.353
   71      196.784      822.389
   72      197.265      822.442
   73      197.746      822.495
   74      198.226      822.532
   75      198.707      822.553
   76      199.188      822.481
   77      199.668      822.348
   78      200.149      822.324
   79      200.629        822.4
   80       201.11      822.496
   81       201.59      822.584
   82       202.07      822.675
   83       202.55      822.749
   84      203.031      822.818
   85      203.511      822.833
   86      203.991      822.806
   87      204.471      822.687
   88      204.951      822.513
   89      205.431      822.431
   90       205.91      822.427
   91       206.39      822.472
   92       206.87      822.483
   93      207.349      822.482
   94      207.829      822.504
   95      208.309      822.531
   96      208.788      822.581
   97      209.267      822.628
   98      209.747      822.651
   99      210.226      822.666
  100      210.705      822.654
  101      211.185      822.647
