scansci Spectrometer Data File
--- Measurement Setting ---
Type: Sample Spectrum
Date: Fri Nov 22 17:59:41 2024
User: (Reserved by scansci)
Serial: (Reserved by scansci)
Channel: No. 11
Integration Time: 101
Average: 30
Boxcar: 50
Electrical Dark: No-corrected
Time Normalize: (Reserved by scansci)
Dual-beam: (Reserved by scansci)
Reference Ch: (Reserved by scansci)
--- Measurement Data ---
Pixel   Wavelength   Intensity
    0        162.5      836.302
    1      162.985      836.254
    2      163.469      836.177
    3      163.954      836.087
    4      164.439      836.027
    5      164.923      835.971
    6      165.408      835.899
    7      165.892      835.825
    8      166.377      835.773
    9      166.861      835.706
   10      167.345      835.617
   11       167.83      835.577
   12      168.314      835.594
   13      168.798      835.634
   14      169.282      835.684
   15      169.766      835.749
   16       170.25      835.868
   17      170.734      835.979
   18      171.218      836.053
   19      171.702      836.094
   20      172.185      836.099
   21      172.669      836.103
   22      173.153      836.108
   23      173.636      836.077
   24       174.12      836.034
   25      174.603      836.057
   26      175.087      836.115
   27       175.57      836.159
   28      176.053      836.188
   29      176.537      836.218
   30       177.02       836.27
   31      177.503      836.301
   32      177.986        836.3
   33      178.469      836.294
   34      178.952      836.292
   35      179.435      836.262
   36      179.918      836.202
   37      180.401      836.139
   38      180.884      836.078
   39      181.366      836.029
   40      181.849      836.001
   41      182.332      835.976
   42      182.814      835.929
   43      183.297      835.882
   44      183.779      835.834
   45      184.262      835.798
   46      184.744      835.775
   47      185.226      835.743
   48      185.708      835.689
   49      186.191      835.632
   50      186.673      835.612
   51      187.155      835.895
   52      187.637      836.045
   53      188.119      836.112
   54        188.6      836.154
   55      189.082      836.142
   56      189.564      836.089
   57      190.046      836.073
   58      190.527      836.069
   59      191.009      836.057
   60      191.491      836.004
   61      191.972      835.953
   62      192.454       835.97
   63      192.935      835.992
   64      193.416      835.995
   65      193.897       835.97
   66      194.379      835.933
   67       194.86      835.905
   68      195.341       835.88
   69      195.822      835.851
   70      196.303      835.849
   71      196.784      835.879
   72      197.265      835.915
   73      197.746      835.935
   74      198.226      835.942
   75      198.707      835.915
   76      199.188      835.778
   77      199.668      835.608
   78      200.149      835.571
   79      200.629      835.631
   80       201.11      835.695
   81       201.59      835.761
   82       202.07      835.826
   83       202.55      835.883
   84      203.031      835.963
   85      203.511      835.999
   86      203.991      835.983
   87      204.471      835.874
