scansci Spectrometer Data File
--- Measurement Setting ---
Type: Sample Spectrum
Date: Fri Nov 22 17:55:53 2024
User: (Reserved by scansci)
Serial: (Reserved by scansci)
Channel: No. 11
Integration Time: 36
Average: 30
Boxcar: 50
Electrical Dark: No-corrected
Time Normalize: (Reserved by scansci)
Dual-beam: (Reserved by scansci)
Reference Ch: (Reserved by scansci)
--- Measurement Data ---
Pixel   Wavelength   Intensity
    0        162.5      823.464
    1      162.985      823.495
    2      163.469      823.508
    3      163.954      823.521
    4      164.439      823.575
    5      164.923      823.611
    6      165.408      823.627
    7      165.892      823.658
    8      166.377      823.699
    9      166.861      823.719
   10      167.345       823.71
   11       167.83      823.688
   12      168.314       823.68
   13      168.798      823.679
   14      169.282      823.674
   15      169.766      823.677
   16       170.25      823.697
   17      170.734      823.742
   18      171.218      823.794
   19      171.702      823.844
   20      172.185      823.886
   21      172.669      823.906
   22      173.153      823.919
   23      173.636      823.915
   24       174.12      823.897
   25      174.603      823.907
   26      175.087      823.934
   27       175.57      823.976
   28      176.053       824.02
   29      176.537      824.059
   30       177.02      824.115
   31      177.503      824.168
   32      177.986        824.2
   33      178.469      824.212
   34      178.952      824.216
   35      179.435      824.214
   36      179.918      824.193
   37      180.401      824.166
   38      180.884      824.134
   39      181.366      824.121
   40      181.849      824.126
   41      182.332      824.117
   42      182.814      824.118
   43      183.297       824.12
   44      183.779       824.11
   45      184.262      824.089
   46      184.744      824.074
   47      185.226      824.049
   48      185.708      824.027
   49      186.191      824.007
   50      186.673      823.981
   51      187.155       824.11
   52      187.637       824.15
   53      188.119      824.171
   54        188.6      824.196
   55      189.082      824.197
   56      189.564        824.2
   57      190.046      824.212
   58      190.527      824.235
   59      191.009      824.253
   60      191.491      824.254
   61      191.972      824.262
   62      192.454       824.28
   63      192.935      824.304
   64      193.416      824.327
   65      193.897      824.316
   66      194.379      824.311
   67       194.86      824.315
   68      195.341      824.298
   69      195.822      824.295
   70      196.303      824.307
   71      196.784      824.333
   72      197.265      824.364
   73      197.746      824.392
   74      198.226      824.434
   75      198.707      824.471
   76      199.188       824.46
   77      199.668      824.423
   78      200.149      824.443
   79      200.629      824.508
   80       201.11      824.557
   81       201.59      824.602
   82       202.07      824.648
   83       202.55      824.665
   84      203.031      824.665
   85      203.511      824.651
   86      203.991      824.643
   87      204.471      824.638
   88      204.951      824.628
   89      205.431      824.644
   90       205.91      824.673
   91       206.39      824.677
   92       206.87      824.667
   93      207.349      824.674
   94      207.829      824.693
   95      208.309      824.722
   96      208.788      824.759
   97      209.267      824.799
   98      209.747      824.825
   99      210.226      824.849
  100      210.705      824.863
  101      211.185      824.889
  102      211.664      824.923
  103      212.143      824.963
  104      212.622      824.987
  105      213.101       824.97
  106      213.579      824.956
  107      214.058      824.954
  108      214.537      824.943
  109      215.016      824.938
  110      215.494      824.957
  111      215.973      824.991
  112      216.452      825.049
  113       216.93      825.107
  114      217.408      825.147
  115      217.887      825.188
  116      218.365      825.233
  117      218.843      825.274
  118      219.321      825.283
  119      219.799      825.299
  120      220.278      825.327
  121      220.755      825.344
  122      221.233      825.359
  123      221.711      825.371
  124      222.189      825.397
  125      222.667       825.42
  126      223.144      825.406
  127      223.622      825.378
  128        224.1       825.34
  129      224.577      825.296
  130      225.055       825.27
  131      225.532      825.236
  132      226.009      825.198
  133      226.486      825.173
  134      226.964      825.165
  135      227.441      825.174
  136      227.918      825.205
  137      228.395      825.257
  138      228.872      825.313
  139      229.349      825.384
  140      229.826      825.436
  141      230.302      825.465
  142      230.779      825.501
  143      231.256      825.531
  144      231.732      825.545
  145      232.209      825.556
  146      232.685      825.588
  147      233.162      825.624
  148      233.638      825.685
  149      234.114      825.745
  150       234.59      825.789
  151      235.066      825.836
  152      235.543      825.874
  153      236.019      825.905
  154      236.495      825.916
  155       236.97      825.929
  156      237.446      825.964
  157      237.922      825.984
  158      238.398      825.983
  159      238.873      825.974
  160      239.349      825.994
  161      239.824      826.022
  162        240.3      826.017
  163      240.775      826.003
  164      241.251      825.998
  165      241.726      825.998
  166      242.201      826.046
  167      242.676      826.106
  168      243.151      826.162
  169      243.626      826.222
  170      244.101      826.278
  171      244.576      826.326
