scansci Spectrometer Data File
--- Measurement Setting ---
Type: Sample Spectrum
Date: Fri Nov 22 17:53:57 2024
User: (Reserved by scansci)
Serial: (Reserved by scansci)
Channel: No. 11
Integration Time: 36
Average: 30
Boxcar: 50
Electrical Dark: No-corrected
Time Normalize: (Reserved by scansci)
Dual-beam: (Reserved by scansci)
Reference Ch: (Reserved by scansci)
--- Measurement Data ---
Pixel   Wavelength   Intensity
    0        162.5       813.71
    1      162.985      813.732
    2      163.469      813.722
    3      163.954      813.716
    4      164.439      813.739
    5      164.923      813.768
    6      165.408      813.805
    7      165.892      813.852
    8      166.377      813.915
    9      166.861      813.965
   10      167.345      813.969
   11       167.83      813.962
   12      168.314       813.95
   13      168.798      813.931
   14      169.282      813.933
   15      169.766      813.979
   16       170.25      814.046
   17      170.734      814.106
   18      171.218      814.158
   19      171.702      814.198
   20      172.185        814.2
   21      172.669      814.199
   22      173.153      814.209
   23      173.636      814.227
   24       174.12      814.256
   25      174.603       814.29
   26      175.087      814.339
   27       175.57      814.395
   28      176.053      814.432
   29      176.537      814.481
   30       177.02      814.535
   31      177.503      814.569
   32      177.986      814.597
   33      178.469      814.611
   34      178.952      814.616
   35      179.435       814.63
   36      179.918      814.638
   37      180.401      814.629
   38      180.884      814.612
   39      181.366      814.624
   40      181.849      814.664
   41      182.332      814.701
   42      182.814       814.73
   43      183.297      814.754
   44      183.779      814.777
   45      184.262      814.805
   46      184.744      814.823
   47      185.226      814.838
   48      185.708      814.848
   49      186.191      814.873
   50      186.673      814.915
   51      187.155      815.018
   52      187.637      815.088
   53      188.119      815.167
   54        188.6       815.25
   55      189.082      815.315
   56      189.564      815.385
   57      190.046      815.471
   58      190.527       815.55
   59      191.009      815.638
   60      191.491      815.698
   61      191.972      815.748
   62      192.454      815.825
   63      192.935      815.903
   64      193.416      815.974
   65      193.897      816.039
   66      194.379       816.11
   67       194.86      816.205
   68      195.341      816.299
   69      195.822      816.357
   70      196.303      816.398
   71      196.784      816.467
   72      197.265      816.547
   73      197.746      816.618
   74      198.226      816.692
   75      198.707      816.767
   76      199.188      816.802
   77      199.668      816.825
   78      200.149      816.888
   79      200.629      816.978
   80       201.11      817.064
   81       201.59       817.15
   82       202.07      817.239
   83       202.55      817.335
   84      203.031       817.43
   85      203.511      817.494
   86      203.991      817.553
   87      204.471      817.611
   88      204.951      817.662
   89      205.431      817.727
   90       205.91      817.793
   91       206.39       817.85
   92       206.87      817.881
   93      207.349      817.916
   94      207.829      817.948
   95      208.309      817.968
   96      208.788      818.003
   97      209.267      818.042
   98      209.747      818.082
   99      210.226      818.133
  100      210.705      818.186
  101      211.185      818.239
  102      211.664      818.288
  103      212.143      818.364
  104      212.622      818.456
  105      213.101      818.535
  106      213.579      818.606
  107      214.058      818.675
  108      214.537       818.72
  109      215.016       818.75
  110      215.494      818.797
  111      215.973      818.873
  112      216.452      818.962
  113       216.93      819.053
  114      217.408      819.134
  115      217.887      819.216
  116      218.365      819.281
  117      218.843      819.347
  118      219.321      819.413
  119      219.799      819.487
  120      220.278      819.556
  121      220.755      819.643
  122      221.233      819.742
  123      221.711      819.832
  124      222.189      819.908
  125      222.667      819.975
  126      223.144      820.047
  127      223.622      820.095
  128        224.1      820.117
  129      224.577      820.135
  130      225.055      820.144
  131      225.532      820.162
  132      226.009      820.212
  133      226.486       820.26
  134      226.964      820.314
  135      227.441      820.382
  136      227.918      820.441
  137      228.395      820.495
  138      228.872      820.571
  139      229.349      820.659
  140      229.826      820.717
  141      230.302      820.753
  142      230.779      820.793
  143      231.256      820.834
  144      231.732      820.876
  145      232.209      820.934
  146      232.685      820.997
  147      233.162      821.051
  148      233.638      821.105
  149      234.114      821.188
  150       234.59      821.265
  151      235.066      821.334
  152      235.543      821.402
  153      236.019      821.454
  154      236.495      821.487
  155       236.97      821.526
  156      237.446      821.566
  157      237.922      821.604
  158      238.398       821.65
  159      238.873      821.689
  160      239.349      821.737
  161      239.824      821.802
  162        240.3      821.847
  163      240.775      821.882
  164      241.251      821.937
  165      241.726      821.994
  166      242.201      822.051
  167      242.676      822.118
  168      243.151      822.185
  169      243.626      822.246
  170      244.101       822.33
  171      244.576      822.427
  172      245.051      822.493
  173      245.526      822.536
  174          246      822.584
  175      246.475      822.631
  176       246.95      822.691
  177      247.424      822.758
  178      247.899      822.803
  179      248.373      822.817
  180      248.847      822.824
  181      249.321      822.861
  182      249.796      822.911
  183       250.27      822.984
  184      250.744      823.083
  185      251.218      823.182
  186      251.692      823.262
  187      252.166      823.328
  188      252.639      823.377
  189      253.113      823.402
  190      253.587      823.417
  191       254.06      823.456
  192      254.534      823.528
  193      255.007      823.623
  194      255.481      823.714
  195      255.954      823.798
  196      256.427      823.892
  197      256.901      823.984
  198      257.374      824.069
  199      257.847       824.17
  200       258.32      824.268
  201      258.793      824.358
  202      259.266      824.455
  203      259.739      824.565
  204      260.211      824.659
  205      260.684      824.731
  206      261.157       824.81
  207      261.629      824.891
  208      262.102      824.965
  209      262.574      825.042
  210      263.046      825.111
  211      263.519      825.181
  212      263.991      825.262
  213      264.463      825.337
  214      264.935      825.413
  215      265.407      825.515
  216      265.879      825.613
  217      266.351        825.7
  218      266.823       825.77
  219      267.295      825.845
  220      267.766      825.923
  221      268.238      826.027
  222       268.71      826.143
  223      269.181      826.238
  224      269.653       826.32
  225      270.124      826.406
  226      270.595      826.494
  227      271.066      826.592
  228      271.538      826.706
  229      272.009      826.851
  230       272.48      827.035
  231      272.951      827.216
  232      273.422      827.379
  233      273.892      827.523
  234      274.363      827.664
  235      274.834        827.8
  236      275.305       827.93
  237      275.775      828.063
  238      276.246      828.205
  239      276.716      828.349
  240      277.186      828.484
  241      277.657      828.619
  242      278.127      828.755
  243      278.597       828.92
  244      279.067      829.119
  245      279.537      829.318
  246      280.007      829.478
  247      280.477      829.608
  248      280.947      829.756
  249      281.417      829.915
  250      281.886      830.049
  251      282.356      830.173
  252      282.825      830.307
  253      283.295      830.455
  254      283.764      830.605
  255      284.234      830.768
  256      284.703      830.933
  257      285.172      831.088
  258      285.641      831.249
  259       286.11      831.413
  260      286.579       831.58
  261      287.048      831.734
  262      287.517      831.869
  263      287.986      832.017
  264      288.454      832.178
  265      288.923       832.33
  266      289.392      832.505
  267       289.86      832.698
  268      290.329      832.881
  269      290.797      833.063
  270      291.265      833.249
  271      291.734       833.42
  272      292.202      833.589
  273       292.67      833.778
  274      293.138      833.968
  275      293.606      834.152
  276      294.074       834.34
  277      294.541      834.535
  278      295.009      834.746
  279      295.477      834.996
  280      295.944      835.268
  281      296.412      835.527
  282      296.879      835.768
  283      297.347      836.016
  284      297.814      836.254
  285      298.281      836.467
  286      298.749       836.69
  287      299.216       836.98
  288      299.683      837.289
  289       300.15      837.595
  290      300.616       837.91
  291      301.083      838.221
  292       301.55      838.527
  293      302.017      838.833
  294      302.483       839.12
  295       302.95        839.4
  296      303.416      839.704
  297      303.883      840.037
  298      304.349      840.379
  299      304.815      840.704
  300      305.281      841.019
  301      305.748      841.353
  302      306.214      841.693
  303       306.68      842.026
  304      307.146      842.369
  305      307.611      842.728
  306      308.077      843.102
  307      308.543      843.465
  308      309.008      843.836
  309      309.474       844.21
  310      309.939      844.612
  311      310.405      845.069
  312       310.87      845.542
  313      311.335      846.018
  314        311.8       846.51
  315      312.266      847.001
  316      312.731      847.466
  317      313.196      847.929
  318       313.66      848.401
  319      314.125      848.884
  320       314.59      849.355
  321      315.055      849.821
  322      315.519      850.282
  323      315.984      850.766
  324      316.448      851.294
  325      316.913      851.857
  326      317.377      852.427
  327      317.841      852.995
  328      318.305      853.543
  329      318.769      854.097
  330      319.233      854.644
  331      319.697      855.179
  332      320.161       855.77
  333      320.625      856.397
  334      321.089      857.034
  335      321.552      857.695
  336      322.016       858.36
  337      322.479      859.013
  338      322.943      859.668
  339      323.406      860.355
  340      323.869      861.075
  341      324.333      861.831
  342      324.796      862.602
  343      325.259      863.406
  344      325.722      864.219
  345      326.185      865.026
  346      326.647      865.858
  347       327.11      866.752
  348      327.573      867.716
  349      328.035      868.741
  350      328.498      869.816
  351       328.96      870.951
  352      329.423      872.144
  353      329.885      873.374
  354      330.347      874.659
  355       330.81      876.033
  356      331.272      877.504
  357      331.734      879.086
  358      332.196        880.8
  359      332.657      882.647
  360      333.119       884.64
  361      333.581      886.806
  362      334.043       889.15
  363      334.504        891.7
  364      334.966      894.457
  365      335.427      897.443
  366      335.888      900.741
  367       336.35      904.386
  368      336.811      908.504
  369      337.272      913.243
  370      337.733      918.737
  371      338.194      925.163
  372      338.655      932.709
  373      339.115      941.522
  374      339.576      951.815
  375      340.037      963.936
  376      340.497        978.3
  377      340.958      995.324
  378      341.418       1015.4
  379      341.879      1039.18
  380      342.339      1067.27
  381      342.799      1100.41
  382      343.259      1139.58
  383      343.719      1185.99
  384      344.179      1241.21
  385      344.639      1306.74
  386      345.099      1384.07
  387      345.559      1475.03
  388      346.018      1582.06
  389      346.478      1706.89
  390      346.937      1851.89
  391      347.397      2005.63
  392      347.856      2159.38
  393      348.315      2313.12
  394      348.774      2466.85
  395      349.234      2620.57
  396      349.693      2774.29
  397      350.152      2927.99
  398       350.61      3081.65
  399      351.069      3235.31
  400      351.528      3388.98
  401      351.987      3542.65
  402      352.445       3696.3
  403      352.904      3849.96
  404      353.362      4003.61
  405       353.82      4157.25
  406      354.279      4310.88
  407      354.737      4464.49
  408      355.195      4618.11
  409      355.653      4771.72
  410      356.111      4925.34
  411      356.569      5078.94
  412      357.027      5232.49
  413      357.484      5386.02
  414      357.942      5539.54
  415      358.399      5693.03
  416      358.857      5846.53
  417      359.314      6000.04
  418      359.772      6153.55
  419      360.229      6307.04
  420      360.686      6460.53
  421      361.143      6614.02
  422        361.6      6767.52
  423      362.057         6921
  424      362.514      7074.46
  425      362.971      7227.89
  426      363.427      7381.29
  427      363.884      7534.69
  428       364.34      7688.09
  429      364.797       7841.5
  430      365.253      7994.41
  431      365.709      8137.95
  432      366.166      8271.88
  433      366.622      8396.77
  434      367.078      8513.69
  435      367.534      8623.03
  436       367.99      8724.42
  437      368.445      8818.94
  438      368.901      8907.57
  439      369.357      8990.57
  440      369.812      9068.16
  441      370.268      9140.77
  442      370.723       9209.3
  443      371.179      9274.53
  444      371.634      9336.57
  445      372.089      9395.21
  446      372.544      9450.58
  447      372.999      9502.88
  448      373.454      9552.01
  449      373.909      9598.18
  450      374.364      9641.39
  451      374.818      9681.77
  452      375.273      9719.47
  453      375.727      9754.33
  454      376.182      9786.45
  455      376.636      9816.02
  456       377.09      9843.27
  457      377.545      9868.38
  458      377.999      9891.22
  459      378.453      9911.94
  460      378.907       9930.9
  461      379.361      9948.27
  462      379.814      9964.07
  463      380.268      9978.42
  464      380.722       9991.5
  465      381.175      10003.4
  466      381.629      10014.1
  467      382.082      10023.6
  468      382.535      10031.9
  469      382.989        10039
  470      383.442        10045
  471      383.895      10049.6
  472      384.348      10052.7
  473      384.801      10054.1
  474      385.253      10053.8
  475      385.706      10051.4
  476      386.159      10046.7
  477      386.611      10039.2
  478      387.064      10028.7
  479      387.516      10014.8
  480      387.968      9996.78
  481      388.421      9974.12
  482      388.873      9946.01
  483      389.325      9911.56
  484      389.777      9869.53
  485      390.229      9818.39
  486      390.681      9756.72
  487      391.132      9683.02
  488      391.584      9595.45
  489      392.035      9491.52
  490      392.487      9369.56
  491      392.938      9227.26
  492       393.39      9076.07
  493      393.841      8924.71
  494      394.292      8773.19
  495      394.743      8621.56
  496      395.194      8469.81
  497      395.645      8317.96
  498      396.096      8166.02
  499      396.546      8014.01
  500      396.997      7861.92
  501      397.448      7709.74
  502      397.898      7557.46
  503      398.349      7405.12
  504      398.799      7252.76
  505      399.249      7100.36
  506      399.699      6947.92
  507      400.149      6795.42
  508      400.599      6642.83
  509      401.049       6490.2
  510      401.499      6337.53
  511      401.949       6184.8
  512      402.398      6031.99
  513      402.848      5879.15
  514      403.297      5726.27
  515      403.747      5573.33
  516      404.196      5420.38
  517      404.645      5267.39
  518      405.094      5114.38
  519      405.543      4961.34
  520      405.992      4808.28
  521      406.441      4655.17
  522       406.89      4502.03
  523      407.339      4348.89
  524      407.787      4195.75
  525      408.236      4042.55
  526      408.684      3889.35
  527      409.132      3736.14
  528      409.581      3582.91
  529      410.029      3429.65
  530      410.477      3276.35
  531      410.925       3123.5
  532      411.373         2980
  533      411.821      2846.08
  534      412.269      2721.14
  535      412.716       2604.1
  536      413.164       2494.6
  537      413.611      2393.02
  538      414.059      2298.32
  539      414.506      2209.51
  540      414.953       2126.3
  541        415.4      2048.46
  542      415.847      1975.55
  543      416.294      1906.68
  544      416.741       1841.1
  545      417.188      1778.66
  546      417.635      1719.59
  547      418.081      1663.73
  548      418.528      1610.91
  549      418.974      1561.22
  550      419.421      1514.43
  551      419.867      1470.55
  552      420.313      1429.43
  553      420.759      1390.93
  554      421.205      1355.19
  555      421.651      1322.11
