Distância;Atraso;Fase
0.1;4e-08;1,46
0.2;3.0000000000000004e-07;10,8
0.3;4.3e-07;15,7
0.4;6.3e-07;23,0
0.5;8.300000000000001e-07;30,3
0.6;1.03e-06;37,2
0.7000000000000001;1.2200000000000002e-06;44,5
0.8;1.4200000000000002e-06;51,8
0.9;1.61e-06;58,7
1.0;1.81e-06;66
1.1;2.0100000000000002e-06;73,3
1.2;2.2e-06;80,2
1.3;2.4000000000000003e-06;87,5
1.4000000000000001;2.59e-06;94,7
1.5;2.79e-06;102
1.6;3.01e-06;110
