Distância;Atraso;Fase
0,08;6E-08;2,17
0,28;4,8E-07;16,7
0,47;7,2E-07;27
0,68;1,16E-06;44,5
0,87;1,54E-06;56,7
1,08;2,06E-06;70,1
1,28;2,36E-06;86,5
1,48;2,78E-06;102
1,62;3,02E-06;110
