Ângulo;Ângulo theta;Voltagem
51;45;4.72
41;35;5.12
31;25;5.6
21;15;5.76
11;5;5.6
1;-5;5.36
-11;-15;4.56
-21;-25;3.92
-31;-35;3.12
-41;-45;2.4
-51;-55;1.92
-61;-65;1.6
-71;-75;1.44
-81;-85;1.84
-91;-95;2.24
