depth[mm]	HF [V]	NF [V]	TGC [dB]
114,1	0,005	-0,002	30,787
114,2	0,006	-0,005	30,709
114,4	0,005	-0,005	30,709
114,5	0,004	-0,001	30,709
114,6	0,003	0,002	30,709
114,8	0,003	0,001	30,709
114,9	0,003	-0,002	30,709
115,1	0,004	-0,004	30,709
115,2	0,004	-0,004	30,709
115,3	0,004	-0,003	30,709
115,5	0,004	-0,003	30,709
115,6	0,004	-0,003	30,709
115,7	0,003	-0,001	30,709
115,9	0,002	0,001	30,787
116,0	0,002	0,001	30,709
116,1	0,003	-0,002	30,709
116,3	0,004	-0,004	30,709
116,4	0,006	-0,002	30,709
116,5	0,007	0,002	30,709
116,7	0,006	0,004	30,709
116,8	0,004	0,004	30,709
116,9	0,002	0,002	30,709
117,1	0,001	-0,001	30,709
117,2	0,002	-0,002	30,709
117,3	0,003	-0,001	30,709
117,5	0,004	0,001	30,709
117,6	0,004	0,004	30,709
117,8	0,004	0,004	30,709
117,9	0,003	0,001	30,709
118,0	0,003	-0,003	30,709
118,2	0,004	-0,003	30,709
118,3	0,004	-0,001	30,709
118,4	0,004	0,002	30,709
118,6	0,003	0,003	30,709
118,7	0,002	0,001	30,709
118,8	0,001	0,000	30,709
119,0	0,002	0,001	30,709
119,1	0,003	0,003	30,709
119,2	0,003	0,003	30,709
119,4	0,003	0,001	30,709
119,5	0,003	-0,001	30,709
119,6	0,002	-0,002	30,709
119,8	0,002	0,000	30,709
119,9	0,002	0,002	30,709
120,0	0,003	0,001	30,709
120,2	0,004	-0,003	30,709
120,3	0,005	-0,005	30,709
120,5	0,006	-0,002	30,709
120,6	0,006	0,002	30,709
120,7	0,005	0,005	30,709
120,9	0,004	0,004	30,709
121,0	0,003	0,001	30,709
121,1	0,002	-0,001	30,709
121,3	0,001	-0,001	30,709
121,4	0,002	-0,002	30,709
121,5	0,002	-0,002	30,709
121,7	0,003	0,000	30,709
121,8	0,004	0,003	30,709
121,9	0,004	0,003	30,709
122,1	0,005	-0,001	30,709
122,2	0,006	-0,005	30,709
122,3	0,006	-0,006	30,709
122,5	0,006	-0,002	30,709
122,6	0,005	0,001	30,709
122,7	0,003	0,002	30,709
122,9	0,003	0,002	30,709
123,0	0,003	0,003	30,709
123,2	0,004	0,004	30,709
123,3	0,005	0,001	30,709
123,4	0,005	-0,003	30,709
123,6	0,005	-0,005	30,709
123,7	0,004	-0,003	30,709
123,8	0,004	0,000	30,709
124,0	0,003	0,001	30,709
124,1	0,004	0,000	30,709
124,2	0,005	0,002	30,709
124,4	0,006	0,006	30,709
124,5	0,006	0,006	30,709
124,6	0,007	0,001	30,709
124,8	0,007	-0,005	30,709
124,9	0,007	-0,006	30,709
