depth[mm]	HF [V]	NF [V]	TGC [dB]
60,3	0,010	0,002	30,787
60,4	0,011	0,009	30,709
60,5	0,012	0,012	30,709
60,7	0,012	0,010	30,787
60,8	0,012	0,006	30,866
60,9	0,012	-0,001	30,866
61,1	0,011	-0,007	30,866
61,2	0,010	-0,010	30,787
61,3	0,007	-0,006	30,787
61,5	0,004	-0,001	30,709
61,6	0,003	0,002	30,709
61,7	0,003	-0,001	30,709
61,9	0,004	-0,004	30,709
62,0	0,005	-0,004	30,709
62,1	0,005	-0,001	30,709
62,3	0,004	0,001	30,787
62,4	0,003	0,001	30,709
62,6	0,003	0,001	30,709
62,7	0,004	0,003	30,866
62,8	0,005	0,005	30,787
63,0	0,006	0,005	30,709
63,1	0,006	0,001	30,709
63,2	0,005	-0,003	30,709
63,4	0,004	-0,004	30,709
63,5	0,002	-0,003	30,709
63,6	0,002	-0,001	30,787
63,8	0,002	-0,002	30,787
63,9	0,003	-0,001	30,787
64,0	0,004	0,001	30,787
64,2	0,005	0,004	30,709
64,3	0,005	0,005	30,866
64,4	0,005	0,003	30,709
64,6	0,004	-0,001	30,787
64,7	0,003	-0,003	30,709
64,8	0,003	-0,001	30,709
65,0	0,003	0,003	30,709
65,1	0,004	0,004	30,787
65,3	0,006	0,002	30,787
65,4	0,006	-0,002	30,866
65,5	0,006	-0,005	30,866
65,7	0,005	-0,005	30,866
65,8	0,004	-0,003	30,866
65,9	0,003	-0,002	30,866
66,1	0,003	-0,001	30,709
66,2	0,004	0,001	30,709
66,3	0,005	0,003	30,709
66,5	0,005	0,005	30,709
66,6	0,005	0,005	30,709
66,7	0,005	0,002	30,709
66,9	0,006	-0,001	30,709
67,0	0,006	-0,004	30,866
67,1	0,005	-0,005	30,866
67,3	0,004	-0,004	30,709
67,4	0,002	-0,001	30,787
67,5	0,002	0,001	30,787
67,7	0,003	-0,001	30,709
67,8	0,005	-0,004	30,709
68,0	0,006	-0,006	30,709
68,1	0,006	-0,003	30,709
68,2	0,005	0,002	30,709
68,4	0,003	0,002	30,709
68,5	0,002	-0,001	30,709
68,6	0,004	-0,001	30,787
68,8	0,006	0,004	30,787
68,9	0,009	0,009	30,866
69,0	0,010	0,006	30,787
69,2	0,011	-0,003	30,787
69,3	0,010	-0,010	30,709
69,4	0,010	-0,007	30,709
69,6	0,009	0,003	30,709
69,7	0,007	0,007	30,709
69,8	0,005	0,003	30,709
70,0	0,003	-0,002	30,709
70,1	0,003	-0,001	30,709
70,2	0,003	0,003	30,866
70,4	0,004	0,004	30,866
70,5	0,004	0,001	30,787
70,7	0,004	-0,003	30,787
70,8	0,003	-0,002	30,866
70,9	0,003	0,001	30,709
71,1	0,003	0,004	30,787
71,2	0,004	0,003	30,709
71,3	0,005	0,000	30,709
71,5	0,005	-0,003	30,709
71,6	0,005	-0,005	30,709
71,7	0,004	-0,004	30,709
71,9	0,003	-0,001	30,866
72,0	0,002	0,001	30,787
72,1	0,001	0,001	30,709
72,3	0,001	0,000	30,787
72,4	0,001	0,000	30,709
72,5	0,002	0,002	30,787
72,7	0,003	0,003	30,709
72,8	0,004	0,000	30,709
72,9	0,005	-0,004	30,709
73,1	0,006	-0,003	30,709
73,2	0,007	0,003	30,787
73,4	0,009	0,009	30,709
73,5	0,010	0,006	30,787
73,6	0,011	-0,002	30,787
73,8	0,010	-0,008	30,787
73,9	0,008	-0,008	30,787
74,0	0,006	-0,005	30,787
74,2	0,005	-0,004	30,709
74,3	0,006	-0,003	30,709
74,4	0,006	0,000	30,709
74,6	0,007	0,004	30,709
74,7	0,006	0,006	30,709
74,8	0,005	0,002	30,709
75,0	0,003	-0,002	30,709
75,1	0,002	-0,002	30,787
75,2	0,002	0,001	30,787
75,4	0,001	0,001	30,866
75,5	0,001	-0,001	30,709
75,6	0,002	-0,001	30,709
75,8	0,003	0,002	30,709
75,9	0,005	0,005	30,709
76,0	0,006	0,002	30,709
76,2	0,007	-0,003	30,709
76,3	0,006	-0,006	30,709
76,5	0,005	-0,005	30,709
76,6	0,004	-0,002	30,787
76,7	0,003	-0,002	30,787
76,9	0,004	-0,004	30,709
77,0	0,005	-0,002	30,709
77,1	0,006	0,003	30,787
77,3	0,005	0,005	30,787
77,4	0,004	0,002	30,709
77,5	0,003	-0,002	30,709
77,7	0,003	-0,003	30,709
77,8	0,002	-0,001	30,709
77,9	0,002	0,000	30,709
78,1	0,001	-0,001	30,709
78,2	0,001	-0,002	30,709
78,3	0,001	0,000	30,866
78,5	0,004	-0,002	30,709
78,6	0,009	-0,010	30,709
78,7	0,017	-0,013	30,709
78,9	0,025	0,001	30,709
79,0	0,033	0,026	30,709
79,2	0,040	0,038	30,709
79,3	0,045	0,016	30,709
79,4	0,050	-0,028	30,709
79,6	0,053	-0,053	30,709
79,7	0,053	-0,033	30,787
79,8	0,049	0,011	30,709
80,0	0,041	0,038	30,709
80,1	0,031	0,028	30,709
80,2	0,021	0,001	30,709
80,4	0,013	-0,011	30,709
80,5	0,008	-0,003	30,709
80,6	0,006	0,006	30,709
80,8	0,005	0,004	30,709
80,9	0,005	-0,003	30,709
81,0	0,005	-0,002	30,709
81,2	0,006	0,005	30,709
81,3	0,008	0,007	30,787
81,4	0,010	0,000	30,709
81,6	0,010	-0,008	30,709
81,7	0,009	-0,008	30,709
81,9	0,005	-0,002	30,787
82,0	0,003	0,001	30,709
82,1	0,002	0,000	30,709
82,3	0,003	-0,001	30,709
82,4	0,005	0,002	30,709
82,5	0,007	0,006	30,709
82,7	0,007	0,005	30,709
82,8	0,006	-0,001	30,709
82,9	0,005	-0,005	30,709
83,1	0,005	-0,003	30,787
83,2	0,005	0,002	30,866
83,3	0,005	0,005	30,709
83,5	0,004	0,003	30,709
83,6	0,003	0,002	30,787
83,7	0,003	0,002	30,709
83,9	0,004	0,003	30,709
84,0	0,006	0,001	30,709
84,1	0,007	-0,003	30,709
84,3	0,008	-0,006	30,709
84,4	0,007	-0,007	30,709
84,6	0,006	-0,006	30,709
84,7	0,005	-0,003	30,709
84,8	0,004	-0,002	30,787
85,0	0,004	0,000	30,709
85,1	0,003	0,001	30,709
85,2	0,002	0,002	30,709
85,4	0,001	0,001	30,709
85,5	0,001	0,000	30,709
85,6	0,001	-0,001	30,709
85,8	0,001	0,000	30,709
85,9	0,002	0,001	30,709
86,0	0,002	0,002	30,709
86,2	0,002	0,001	30,787
86,3	0,002	0,000	30,709
86,4	0,002	-0,002	30,709
86,6	0,002	-0,003	30,787
86,7	0,003	-0,002	30,787
86,8	0,003	-0,002	30,709
87,0	0,003	-0,002	30,709
87,1	0,004	-0,002	30,709
87,3	0,005	0,001	30,709
87,4	0,006	0,005	30,709
87,5	0,006	0,006	30,709
87,7	0,006	0,002	30,709
87,8	0,004	-0,002	30,709
87,9	0,002	-0,002	30,787
