depth[mm]	HF [V]	NF [V]	TGC [dB]
22,9	0,005	-0,003	30,866
23,0	0,005	0,001	31,024
23,1	0,004	0,003	31,024
23,3	0,003	0,000	30,866
23,4	0,004	-0,004	30,866
23,6	0,007	-0,003	30,866
23,7	0,009	0,004	30,866
23,8	0,010	0,009	30,866
24,0	0,009	0,007	30,866
24,1	0,008	0,000	30,866
24,2	0,006	-0,005	30,866
24,4	0,004	-0,004	30,866
24,5	0,003	0,000	30,866
24,6	0,002	0,002	30,866
24,8	0,001	0,001	30,866
24,9	0,001	0,000	30,866
25,0	0,001	-0,001	30,866
25,2	0,001	-0,002	30,866
25,3	0,003	-0,002	30,866
25,4	0,005	0,000	30,866
25,6	0,006	0,004	30,866
25,7	0,007	0,006	30,866
25,8	0,007	0,003	30,866
26,0	0,007	-0,003	30,866
26,1	0,006	-0,006	30,866
26,2	0,005	-0,005	30,866
26,4	0,004	-0,003	30,866
26,5	0,005	-0,004	30,866
26,7	0,007	-0,005	30,787
26,8	0,010	-0,002	30,866
26,9	0,012	0,006	30,866
27,1	0,013	0,012	30,866
27,2	0,011	0,010	30,866
27,3	0,009	0,004	30,866
27,5	0,006	-0,002	30,866
27,6	0,004	-0,004	30,866
27,7	0,003	-0,002	30,866
27,9	0,003	0,000	30,866
28,0	0,003	0,002	30,866
28,1	0,003	0,003	30,866
28,3	0,004	0,003	30,866
28,4	0,004	0,002	30,866
28,5	0,004	-0,001	30,787
28,7	0,005	-0,003	30,866
28,8	0,005	-0,005	30,866
28,9	0,006	-0,006	30,866
29,1	0,007	-0,005	30,866
29,2	0,008	-0,001	30,866
29,4	0,006	0,003	30,866
29,5	0,004	0,005	30,787
29,6	0,003	0,002	30,787
29,8	0,002	-0,001	30,787
29,9	0,004	0,000	30,787
30,0	0,007	0,005	30,709
30,2	0,010	0,009	30,709
30,3	0,010	0,008	30,787
30,4	0,008	0,003	30,787
30,6	0,005	-0,001	30,866
30,7	0,003	-0,001	30,787
30,8	0,003	0,000	30,866
31,0	0,004	0,000	30,866
31,1	0,005	-0,003	30,866
31,2	0,005	-0,005	30,709
31,4	0,005	-0,005	30,787
31,5	0,005	-0,004	30,709
31,6	0,005	-0,003	30,709
31,8	0,005	-0,001	30,709
31,9	0,005	0,003	30,866
32,1	0,005	0,005	30,787
32,2	0,005	0,003	30,787
32,3	0,006	-0,003	30,866
32,5	0,007	-0,007	30,787
32,6	0,007	-0,005	30,787
32,7	0,007	-0,001	30,866
32,9	0,006	0,003	30,709
33,0	0,005	0,003	30,709
33,1	0,004	0,003	30,709
33,3	0,004	0,003	30,709
33,4	0,004	0,004	30,866
33,5	0,004	0,003	30,787
33,7	0,004	0,000	30,866
33,8	0,004	-0,003	30,709
33,9	0,004	-0,003	30,709
34,1	0,004	0,001	30,709
34,2	0,004	0,003	30,709
34,3	0,004	0,004	30,709
34,5	0,004	0,003	30,709
34,6	0,004	0,004	30,787
34,8	0,005	0,005	30,709
34,9	0,006	0,005	30,709
35,0	0,006	0,001	30,709
35,2	0,006	-0,002	30,709
35,3	0,005	-0,004	30,787
35,4	0,003	-0,003	30,709
35,6	0,003	-0,002	30,709
35,7	0,003	-0,002	30,709
35,8	0,004	-0,002	30,709
36,0	0,005	0,001	30,709
36,1	0,006	0,005	30,709
36,2	0,007	0,007	30,709
36,4	0,006	0,004	30,787
36,5	0,005	0,000	30,709
36,6	0,004	-0,003	30,709
36,8	0,003	-0,003	30,709
36,9	0,002	-0,001	30,709
37,0	0,001	-0,001	30,787
37,2	0,001	-0,001	30,709
37,3	0,002	-0,002	30,709
37,5	0,002	-0,002	30,709
37,6	0,003	-0,002	30,709
37,7	0,003	-0,002	30,709
37,9	0,003	0,000	30,709
38,0	0,003	0,002	30,787
38,1	0,003	0,003	30,709
38,3	0,003	0,003	30,709
38,4	0,003	0,001	30,709
38,5	0,004	-0,003	30,709
38,7	0,005	-0,005	30,709
38,8	0,006	-0,003	30,709
38,9	0,006	0,001	30,709
39,1	0,007	0,005	30,709
39,2	0,006	0,006	30,709
39,3	0,004	0,002	30,709
39,5	0,003	-0,001	30,709
39,6	0,002	-0,002	30,709
39,7	0,002	0,000	30,709
39,9	0,002	0,002	30,709
40,0	0,002	0,002	30,709
40,2	0,002	0,001	30,709
40,3	0,001	-0,001	30,709
40,4	0,001	-0,001	30,709
40,6	0,000	0,000	30,709
40,7	0,000	0,000	30,709
40,8	0,000	0,000	30,709
41,0	0,000	0,000	30,709
41,1	0,001	0,000	30,709
41,2	0,001	0,000	30,709
41,4	0,003	0,001	30,709
41,5	0,004	0,003	30,709
41,6	0,005	0,005	30,709
41,8	0,004	0,003	30,709
41,9	0,004	0,001	30,709
42,0	0,003	0,000	30,709
42,2	0,003	0,000	30,709
42,3	0,004	0,000	30,709
42,4	0,006	-0,003	30,709
42,6	0,007	-0,006	30,709
42,7	0,007	-0,006	30,709
42,8	0,006	-0,002	30,709
43,0	0,004	0,001	30,709
43,1	0,002	0,002	30,709
43,3	0,002	0,002	30,709
43,4	0,002	0,001	30,709
43,5	0,002	0,001	30,709
43,7	0,003	0,000	30,709
43,8	0,004	-0,003	30,709
43,9	0,004	-0,005	30,709
44,1	0,005	-0,004	30,709
44,2	0,005	-0,002	30,709
44,3	0,004	0,000	30,709
44,5	0,004	0,001	30,709
44,6	0,003	0,002	30,709
44,7	0,002	0,001	30,709
44,9	0,002	0,001	30,709
45,0	0,003	0,002	30,709
45,1	0,004	0,004	30,709
45,3	0,005	0,005	30,709
45,4	0,005	0,003	30,709
45,5	0,004	0,000	30,709
45,7	0,003	-0,002	30,709
45,8	0,002	-0,002	30,709
46,0	0,003	-0,002	30,709
46,1	0,004	-0,004	30,709
46,2	0,005	-0,005	30,709
46,4	0,006	-0,004	30,709
46,5	0,006	-0,001	30,709
46,6	0,004	0,003	30,709
46,8	0,003	0,003	30,709
46,9	0,001	0,001	30,709
47,0	0,001	-0,001	30,709
47,2	0,001	-0,001	30,709
47,3	0,002	-0,001	30,709
47,4	0,002	-0,001	30,709
47,6	0,002	-0,001	30,709
47,7	0,003	-0,002	30,709
47,8	0,004	-0,002	30,709
48,0	0,006	0,000	30,709
48,1	0,008	0,003	30,709
48,2	0,008	0,007	30,709
48,4	0,008	0,008	30,709
48,5	0,006	0,006	30,709
48,7	0,004	0,002	30,709
48,8	0,003	0,001	30,709
48,9	0,002	0,001	30,709
49,1	0,002	0,002	30,709
49,2	0,003	0,000	30,709
49,3	0,003	-0,002	30,709
49,5	0,003	-0,002	30,709
49,6	0,003	0,001	30,709
49,7	0,002	0,003	30,709
49,9	0,002	0,002	30,709
50,0	0,002	0,001	30,709
50,1	0,001	0,001	30,709
50,3	0,001	0,001	30,709
50,4	0,002	0,001	30,709
50,5	0,002	0,000	30,709
50,7	0,002	-0,001	30,709
50,8	0,002	-0,001	30,709
50,9	0,002	-0,002	30,709
51,1	0,003	-0,003	30,709
51,2	0,003	-0,003	30,709
51,4	0,004	-0,001	30,709
51,5	0,005	0,002	30,709
51,6	0,005	0,004	30,709
51,8	0,004	0,004	30,709
51,9	0,003	0,002	30,709
52,0	0,002	0,001	30,709
52,2	0,002	0,002	30,709
52,3	0,003	0,002	30,709
52,4	0,004	0,001	30,709
52,6	0,004	-0,001	30,709
52,7	0,004	-0,004	30,709
52,8	0,004	-0,004	30,709
53,0	0,003	-0,001	30,709
53,1	0,003	0,002	30,709
53,2	0,003	0,003	30,709
53,4	0,003	0,001	30,709
53,5	0,003	-0,002	30,709
53,6	0,003	-0,003	30,709
53,8	0,004	0,000	30,709
53,9	0,005	0,004	30,709
54,1	0,006	0,006	30,709
54,2	0,007	0,003	30,709
54,3	0,007	-0,002	30,709
54,5	0,006	-0,005	30,709
54,6	0,004	-0,004	30,709
54,7	0,002	-0,001	30,709
54,9	0,002	0,001	30,709
55,0	0,002	0,000	30,709
55,1	0,003	-0,003	30,709
55,3	0,003	-0,004	30,709
55,4	0,003	-0,003	30,709
55,5	0,003	-0,002	30,709
55,7	0,003	-0,003	30,709
55,8	0,004	-0,003	30,709
55,9	0,005	-0,002	30,709
56,1	0,005	0,001	30,709
56,2	0,004	0,003	30,709
56,3	0,002	0,002	30,709
56,5	0,002	0,000	30,709
56,6	0,002	-0,002	30,709
56,8	0,003	-0,001	30,709
56,9	0,004	0,002	30,709
57,0	0,004	0,003	30,709
57,2	0,004	0,003	30,709
57,3	0,003	0,003	30,709
57,4	0,002	0,001	30,709
57,6	0,002	-0,001	30,709
57,7	0,003	-0,002	30,709
57,8	0,004	0,000	30,709
58,0	0,004	0,004	30,709
58,1	0,005	0,005	30,709
58,2	0,005	0,001	30,709
58,4	0,005	-0,004	30,709
58,5	0,004	-0,004	30,709
58,6	0,003	-0,001	30,709
58,8	0,002	0,002	30,709
58,9	0,002	0,000	30,709
59,0	0,003	-0,002	30,709
59,2	0,004	-0,002	30,709
59,3	0,005	0,002	30,709
59,4	0,006	0,005	30,709
59,6	0,005	0,005	30,709
59,7	0,005	0,004	30,709
59,9	0,004	0,003	30,709
60,0	0,004	0,002	30,709
60,1	0,004	0,000	30,709
60,3	0,004	-0,002	30,709
60,4	0,003	-0,003	30,709
60,5	0,002	-0,001	30,709
60,7	0,002	0,001	30,709
60,8	0,001	0,001	30,709
60,9	0,001	0,001	30,709
61,1	0,001	0,001	30,709
61,2	0,002	0,001	30,709
61,3	0,003	-0,002	30,709
61,5	0,004	-0,004	30,709
61,6	0,004	-0,003	30,709
61,7	0,004	0,000	30,709
61,9	0,003	0,002	30,709
62,0	0,002	0,002	30,630
62,1	0,002	-0,001	30,709
62,3	0,002	-0,002	30,709
62,4	0,003	0,000	30,709
62,6	0,003	0,002	30,709
62,7	0,003	0,003	30,709
62,8	0,002	0,002	30,709
63,0	0,002	0,001	30,630
63,1	0,003	0,003	30,709
63,2	0,004	0,004	30,709
63,4	0,005	0,004	30,709
63,5	0,005	0,001	30,709
63,6	0,005	-0,003	30,709
63,8	0,004	-0,004	30,709
63,9	0,004	-0,001	30,709
64,0	0,004	0,003	30,709
64,2	0,003	0,004	30,709
64,3	0,003	0,001	30,709
64,4	0,002	-0,001	30,709
64,6	0,001	0,000	30,709
64,7	0,002	0,002	30,709
64,8	0,002	0,002	30,709
65,0	0,003	0,000	30,709
65,1	0,003	-0,002	30,709
65,3	0,003	-0,003	30,709
65,4	0,003	0,000	30,709
65,5	0,003	0,003	30,709
65,7	0,003	0,003	30,709
65,8	0,003	0,001	30,709
65,9	0,002	-0,001	30,709
66,1	0,001	-0,001	30,709
66,2	0,000	0,000	30,709
66,3	0,000	0,000	30,630
66,5	0,001	0,000	30,709
66,6	0,002	0,000	30,709
66,7	0,004	0,002	30,709
66,9	0,005	0,004	30,709
67,0	0,005	0,004	30,709
67,1	0,005	0,002	30,709
67,3	0,004	-0,001	30,709
67,4	0,004	-0,003	30,709
67,5	0,003	-0,003	30,709
67,7	0,003	-0,001	30,630
67,8	0,003	0,002	30,709
68,0	0,003	0,003	30,709
68,1	0,003	0,001	30,709
68,2	0,004	-0,002	30,709
68,4	0,005	-0,005	30,709
68,5	0,005	-0,003	30,709
68,6	0,006	0,002	30,630
68,8	0,006	0,005	30,630
68,9	0,005	0,005	30,551
69,0	0,003	0,003	30,630
69,2	0,002	0,001	30,709
69,3	0,001	0,001	30,709
69,4	0,001	0,001	30,709
69,6	0,002	0,002	30,630
69,7	0,002	0,002	30,709
69,8	0,003	0,001	30,630
70,0	0,002	0,000	30,709
70,1	0,001	0,000	30,551
70,2	0,001	0,000	30,709
70,4	0,001	0,000	30,709
70,5	0,001	0,000	30,630
70,7	0,002	-0,001	30,630
70,8	0,002	-0,002	30,709
70,9	0,003	0,000	30,709
71,1	0,003	0,002	30,709
71,2	0,003	0,003	30,709
71,3	0,002	0,002	30,709
71,5	0,002	0,001	30,709
71,6	0,002	0,001	30,709
71,7	0,002	-0,001	30,709
71,9	0,003	-0,003	30,709
72,0	0,005	-0,003	30,709
72,1	0,006	0,001	30,709
72,3	0,008	0,006	30,630
72,4	0,008	0,008	30,709
72,5	0,006	0,003	30,709
72,7	0,005	-0,002	30,709
72,8	0,003	-0,003	30,630
72,9	0,003	0,001	30,709
73,1	0,004	0,004	30,709
73,2	0,005	0,003	30,630
73,4	0,005	-0,002	30,630
73,5	0,005	-0,004	30,709
73,6	0,004	-0,002	30,709
73,8	0,003	0,001	30,709
73,9	0,003	0,003	30,630
74,0	0,004	0,004	30,709
74,2	0,004	0,003	30,709
74,3	0,003	0,001	30,709
74,4	0,002	0,000	30,630
74,6	0,001	-0,001	30,709
74,7	0,001	0,000	30,709
74,8	0,002	0,002	30,630
75,0	0,003	0,002	30,630
75,1	0,004	0,001	30,709
75,2	0,004	-0,002	30,630
75,4	0,003	-0,003	30,630
75,5	0,003	-0,003	30,630
75,6	0,002	0,000	30,709
75,8	0,003	0,002	30,630
75,9	0,003	0,003	30,630
76,0	0,003	0,001	30,630
76,2	0,003	-0,001	30,709
76,3	0,002	-0,001	30,630
76,5	0,003	-0,001	30,709
76,6	0,005	-0,004	30,709
76,7	0,007	-0,007	30,709
76,9	0,009	-0,006	30,709
77,0	0,010	0,002	30,709
77,1	0,010	0,010	30,630
77,3	0,009	0,007	30,630
77,4	0,008	-0,002	30,630
77,5	0,006	-0,006	30,709
77,7	0,005	0,000	30,709
77,8	0,004	0,005	30,709
77,9	0,005	0,001	30,630
78,1	0,005	-0,004	30,709
78,2	0,007	0,002	30,709
78,3	0,010	0,010	30,709
78,5	0,016	-0,002	30,630
78,6	0,027	-0,027	30,709
78,7	0,045	-0,022	30,630
78,9	0,068	0,034	30,709
79,0	0,092	0,092	30,630
79,2	0,115	0,071	30,709
79,3	0,134	-0,037	30,630
79,4	0,146	-0,137	30,709
79,6	0,149	-0,125	30,709
79,7	0,142	-0,009	30,630
79,8	0,124	0,094	30,551
80,0	0,097	0,095	30,709
80,1	0,067	0,019	30,630
80,2	0,044	-0,034	30,630
80,4	0,032	-0,017	30,630
80,5	0,032	0,027	30,709
80,6	0,037	0,032	30,709
80,8	0,041	-0,002	30,709
80,9	0,036	-0,031	30,709
81,0	0,026	-0,023	30,709
81,2	0,014	0,000	30,709
81,3	0,008	0,006	30,709
81,4	0,009	-0,007	30,630
81,6	0,014	-0,015	30,630
81,7	0,018	-0,007	30,630
81,9	0,017	0,007	30,630
82,0	0,012	0,011	30,630
82,1	0,006	0,007	30,709
82,3	0,003	0,003	30,551
82,4	0,004	0,004	30,709
82,5	0,006	0,005	30,630
82,7	0,006	0,003	30,709
82,8	0,005	-0,001	30,551
82,9	0,003	-0,002	30,709
83,1	0,001	-0,001	30,630
83,2	0,001	0,001	30,709
83,3	0,003	0,002	30,551
83,5	0,004	0,002	30,709
83,6	0,005	0,000	30,630
83,7	0,005	-0,003	30,709
83,9	0,004	-0,004	30,630
84,0	0,003	-0,002	30,709
84,1	0,003	0,001	30,630
84,3	0,003	0,003	30,709
84,4	0,003	0,001	30,551
84,6	0,003	-0,002	30,551
84,7	0,003	-0,003	30,630
84,8	0,003	-0,001	30,630
85,0	0,004	0,003	30,551
85,1	0,005	0,005	30,551
85,2	0,006	0,006	30,551
85,4	0,007	0,006	30,709
85,5	0,008	0,004	30,551
85,6	0,008	0,000	30,709
85,8	0,008	-0,003	30,551
85,9	0,008	-0,005	30,709
86,0	0,007	-0,006	30,630
86,2	0,007	-0,007	30,709
86,3	0,007	-0,007	30,551
86,4	0,006	-0,004	30,709
86,6	0,005	-0,001	30,551
86,7	0,004	0,001	30,551
86,8	0,003	0,002	30,551
87,0	0,002	0,002	30,630
87,1	0,001	0,001	30,551
87,3	0,001	0,001	30,630
87,4	0,002	0,002	30,630
87,5	0,004	0,003	30,551
87,7	0,005	0,005	30,551
87,8	0,007	0,004	30,709
87,9	0,009	-0,001	30,630
88,1	0,010	-0,008	30,630
88,2	0,011	-0,011	30,630
88,3	0,010	-0,007	30,551
88,5	0,008	0,000	30,551
88,6	0,006	0,004	30,709
88,7	0,004	0,004	30,630
88,9	0,003	0,003	30,630
89,0	0,004	0,004	30,551
89,1	0,006	0,006	30,630
89,3	0,008	0,005	30,551
89,4	0,008	0,001	30,630
89,5	0,007	-0,004	30,551
89,7	0,004	-0,004	30,630
89,8	0,003	-0,002	30,551
90,0	0,002	0,000	30,630
90,1	0,003	-0,002	30,551
90,2	0,004	-0,004	30,630
90,4	0,004	-0,004	30,709
90,5	0,004	-0,002	30,630
90,6	0,003	0,001	30,551
90,8	0,002	0,002	30,630
90,9	0,002	0,001	30,551
91,0	0,002	-0,001	30,630
91,2	0,002	-0,001	30,551
91,3	0,001	-0,001	30,630
91,4	0,001	0,000	30,551
91,6	0,001	0,001	30,630
91,7	0,001	0,002	30,630
91,8	0,003	0,002	30,630
92,0	0,005	0,001	30,551
92,1	0,006	-0,002	30,630
92,2	0,006	-0,005	30,551
92,4	0,005	-0,005	30,551
92,5	0,004	-0,004	30,551
92,7	0,003	-0,003	30,551
92,8	0,004	-0,003	30,551
92,9	0,005	-0,004	30,630
93,1	0,006	0,000	30,551
93,2	0,007	0,005	30,630
93,3	0,006	0,006	30,551
93,5	0,005	0,002	30,630
93,6	0,005	-0,004	30,630
93,7	0,005	-0,004	30,709
93,9	0,006	0,001	30,551
94,0	0,006	0,006	30,630
94,1	0,006	0,005	30,551
94,3	0,006	0,000	30,630
94,4	0,005	-0,004	30,551
94,5	0,004	-0,004	30,709
94,7	0,003	-0,001	30,551
94,8	0,003	0,001	30,630
94,9	0,003	0,003	30,551
95,1	0,004	0,004	30,630
95,2	0,006	0,005	30,551
95,3	0,007	0,002	30,630
95,5	0,006	-0,002	30,551
95,6	0,005	-0,005	30,630
95,8	0,004	-0,004	30,630
95,9	0,002	-0,001	30,630
96,0	0,002	0,001	30,551
96,2	0,002	0,001	30,551
96,3	0,003	-0,001	30,551
96,4	0,003	-0,003	30,551
96,6	0,003	-0,003	30,551
96,7	0,003	-0,002	30,630
96,8	0,003	-0,003	30,551
97,0	0,004	-0,005	30,551
97,1	0,006	-0,005	30,551
97,2	0,006	-0,003	30,630
97,4	0,006	0,002	30,551
97,5	0,005	0,004	30,551
97,6	0,003	0,002	30,551
97,8	0,003	-0,002	30,630
97,9	0,003	-0,003	30,551
98,0	0,004	0,000	30,551
98,2	0,005	0,003	30,551
98,3	0,004	0,004	30,630
98,5	0,003	0,002	30,551
98,6	0,002	0,001	30,709
98,7	0,002	0,001	30,551
98,9	0,003	0,001	30,551
99,0	0,004	0,000	30,551
99,1	0,005	-0,002	30,630
99,3	0,005	-0,004	30,551
99,4	0,005	-0,005	30,551
99,5	0,005	-0,004	30,551
99,7	0,004	-0,001	30,551
99,8	0,003	0,001	30,551
99,9	0,002	0,002	30,551
100,1	0,002	0,002	30,551
100,2	0,003	0,000	30,630
100,3	0,003	-0,002	30,551
100,5	0,004	-0,004	30,551
100,6	0,004	-0,003	30,551
100,7	0,004	0,000	30,630
100,9	0,004	0,003	30,551
101,0	0,004	0,004	30,551
101,2	0,003	0,002	30,551
101,3	0,002	0,000	30,630
101,4	0,002	-0,001	30,630
101,6	0,001	-0,001	30,551
101,7	0,001	0,000	30,551
101,8	0,001	0,000	30,551
102,0	0,001	0,001	30,551
102,1	0,001	0,001	30,551
102,2	0,002	0,001	30,551
102,4	0,003	-0,001	30,551
102,5	0,003	-0,002	30,551
102,6	0,002	-0,002	30,551
102,8	0,002	-0,002	30,551
102,9	0,002	-0,001	30,551
103,0	0,002	-0,002	30,551
103,2	0,002	-0,002	30,630
103,3	0,003	-0,002	30,551
103,4	0,003	-0,001	30,551
103,6	0,003	0,002	30,551
103,7	0,003	0,003	30,551
103,9	0,004	0,003	30,551
104,0	0,004	0,000	30,630
104,1	0,004	-0,003	30,551
104,3	0,005	-0,004	30,551
104,4	0,005	-0,004	30,551
104,5	0,005	-0,003	30,551
104,7	0,005	0,000	30,551
104,8	0,005	0,004	30,551
104,9	0,005	0,005	30,551
105,1	0,005	0,003	30,551
105,2	0,004	0,000	30,551
105,3	0,003	-0,001	30,551
105,5	0,003	-0,002	30,551
105,6	0,004	-0,002	30,551
105,7	0,005	-0,004	30,551
105,9	0,005	-0,005	30,630
106,0	0,005	-0,004	30,551
106,1	0,004	0,000	30,551
106,3	0,003	0,002	30,551
106,4	0,002	0,001	30,551
106,6	0,003	-0,002	30,551
106,7	0,003	-0,004	30,551
106,8	0,003	-0,002	30,551
107,0	0,003	-0,001	30,551
107,1	0,003	0,000	30,551
107,2	0,003	0,000	30,630
107,4	0,003	0,002	30,551
107,5	0,003	0,003	30,551
107,6	0,002	0,002	30,551
107,8	0,002	-0,001	30,551
107,9	0,002	-0,001	30,551
108,0	0,003	0,002	30,551
108,2	0,005	0,005	30,630
108,3	0,006	0,005	30,709
108,4	0,006	0,001	30,551
108,6	0,005	-0,003	30,551
108,7	0,003	-0,004	30,551
108,8	0,002	-0,001	30,551
109,0	0,002	0,002	30,551
109,1	0,003	0,001	30,551
109,3	0,003	-0,002	30,551
109,4	0,003	-0,004	30,551
109,5	0,003	-0,001	30,551
109,7	0,003	0,002	30,551
109,8	0,004	0,003	30,630
109,9	0,004	0,002	30,551
110,1	0,004	-0,001	30,551
110,2	0,004	-0,003	30,551
110,3	0,004	-0,003	30,551
110,5	0,004	-0,003	30,551
110,6	0,004	-0,004	30,551
110,7	0,004	-0,004	30,551
110,9	0,004	-0,004	30,551
111,0	0,004	-0,003	30,551
111,1	0,004	-0,003	30,551
111,3	0,005	-0,003	30,551
111,4	0,004	0,000	30,551
111,5	0,004	0,003	30,551
111,7	0,004	0,004	30,551
111,8	0,004	0,000	30,551
111,9	0,004	-0,004	30,551
112,1	0,005	-0,004	30,551
112,2	0,005	-0,001	30,551
112,4	0,004	0,003	30,551
112,5	0,004	0,004	30,551
112,6	0,004	0,000	30,551
112,8	0,004	-0,003	30,551
112,9	0,005	-0,005	30,551
113,0	0,005	-0,003	30,551
113,2	0,005	0,000	30,551
113,3	0,005	0,003	30,551
113,4	0,005	0,005	30,551
