depth[mm]	HF [V]	NF [V]	TGC [dB]
0,0	0,139	0,055	1,260
0,0	0,187	0,195	1,417
0,0	0,247	0,125	0,787
0,0	0,300	-0,133	0,472
0,0	0,323	-0,308	1,654
0,0	0,296	-0,219	1,732
0,0	0,229	0,002	1,575
0,0	0,156	0,106	1,260
0,1	0,119	0,069	1,102
0,2	0,139	0,078	1,102
0,3	0,199	0,196	1,260
0,5	0,256	0,243	1,417
0,6	0,274	0,076	1,417
0,7	0,246	-0,158	1,181
0,9	0,199	-0,189	1,102
1,0	0,167	0,004	1,260
1,1	0,163	0,162	1,339
1,3	0,175	0,092	1,260
1,4	0,176	-0,092	1,260
1,6	0,152	-0,153	1,260
1,7	0,112	-0,047	1,260
1,8	0,078	0,056	1,260
2,0	0,064	0,030	1,260
2,1	0,069	-0,057	1,260
2,2	0,074	-0,076	1,260
2,4	0,066	-0,015	1,260
2,5	0,047	0,030	1,260
2,6	0,028	0,012	1,260
2,8	0,019	-0,022	1,260
2,9	0,022	-0,016	1,260
3,0	0,028	0,014	1,260
3,2	0,027	0,023	1,260
3,3	0,020	0,006	1,260
3,4	0,011	-0,005	1,260
3,6	0,008	0,005	1,260
3,7	0,010	0,017	1,260
3,8	0,013	0,013	1,260
4,0	0,013	0,002	1,260
4,1	0,010	0,002	1,260
4,3	0,008	0,010	1,260
4,4	0,008	0,013	1,260
4,5	0,010	0,006	1,260
4,7	0,011	0,000	1,260
4,8	0,009	0,000	1,260
4,9	0,005	0,002	1,260
5,1	0,002	0,001	1,260
5,2	0,002	-0,001	1,260
5,3	0,004	-0,001	1,260
5,5	0,005	0,000	1,260
5,6	0,004	0,000	1,260
5,7	0,002	-0,002	1,260
5,9	0,001	-0,002	1,260
6,0	0,002	-0,001	1,260
6,1	0,004	-0,001	1,260
6,3	0,005	-0,003	1,260
6,4	0,006	-0,005	1,260
6,5	0,004	-0,004	1,260
6,7	0,003	0,000	1,260
6,8	0,002	0,001	1,260
7,0	0,001	0,000	1,260
7,1	0,001	-0,001	1,260
7,2	0,001	-0,001	1,260
7,4	0,001	0,000	1,260
7,5	0,001	0,001	1,260
7,6	0,001	0,000	1,260
7,8	0,001	-0,001	1,260
7,9	0,002	-0,001	1,260
8,0	0,002	-0,002	1,260
8,2	0,002	-0,001	1,260
8,3	0,002	0,001	1,260
8,4	0,002	0,002	1,260
8,6	0,002	0,002	1,260
8,7	0,001	0,000	1,260
8,8	0,001	-0,001	1,260
9,0	0,001	0,000	1,260
9,1	0,001	0,000	1,260
9,2	0,001	-0,001	1,260
9,4	0,002	-0,002	1,260
9,5	0,003	-0,002	1,260
9,6	0,003	0,000	1,260
9,8	0,002	0,002	1,260
9,9	0,002	0,002	1,260
10,1	0,002	0,001	1,260
10,2	0,001	0,000	1,260
10,3	0,001	0,000	0,315
10,5	0,000	0,000	0,472
10,6	0,000	0,000	1,260
10,7	0,000	0,000	2,047
10,9	0,001	0,000	2,677
11,0	0,001	0,000	3,150
11,1	0,001	0,000	3,465
11,3	0,001	0,000	3,780
11,4	0,001	0,000	4,094
11,5	0,001	0,001	4,409
11,7	0,002	0,000	4,724
11,8	0,003	-0,001	5,039
11,9	0,004	-0,003	5,354
12,1	0,004	-0,004	5,669
12,2	0,004	-0,003	5,984
12,3	0,003	-0,001	6,299
12,5	0,002	0,000	6,614
12,6	0,001	0,000	7,008
12,8	0,000	0,000	7,244
12,9	0,000	0,000	7,559
13,0	0,001	0,000	7,874
13,2	0,001	-0,001	8,189
13,3	0,002	-0,002	8,504
13,4	0,002	-0,001	8,819
13,6	0,001	0,000	9,134
13,7	0,001	0,001	9,449
13,8	0,001	0,000	9,764
14,0	0,000	0,000	10,079
14,1	0,000	0,000	10,394
14,2	0,000	0,000	10,709
14,4	0,000	0,000	11,024
14,5	0,000	0,000	11,339
14,6	0,000	0,000	11,654
14,8	0,000	0,000	11,969
14,9	0,000	0,000	12,283
15,0	0,000	0,000	12,598
15,2	0,000	0,000	12,913
15,3	0,000	0,000	13,228
15,5	0,000	0,000	13,543
15,6	0,000	0,000	13,858
15,7	0,000	0,000	14,173
15,9	0,000	0,000	14,488
16,0	0,000	0,000	14,803
16,1	0,000	0,000	15,118
16,3	0,001	0,000	15,433
16,4	0,001	0,001	15,748
16,5	0,001	0,000	16,063
16,7	0,001	0,000	16,378
16,8	0,001	0,000	16,693
16,9	0,001	0,001	17,008
17,1	0,002	0,001	17,323
17,2	0,003	0,000	17,638
17,3	0,004	-0,003	17,953
17,5	0,005	-0,004	18,268
17,6	0,004	-0,004	18,583
17,7	0,003	-0,002	18,898
17,9	0,002	-0,001	19,134
18,0	0,002	-0,001	19,528
18,2	0,002	0,000	19,843
18,3	0,003	0,002	20,157
18,4	0,003	0,002	20,472
18,6	0,004	-0,001	20,709
18,7	0,004	-0,004	21,024
18,8	0,003	-0,003	21,417
19,0	0,003	0,000	21,732
19,1	0,003	0,002	22,047
19,2	0,004	-0,001	22,362
19,4	0,005	-0,005	22,677
19,5	0,006	-0,005	22,992
19,6	0,005	-0,001	23,307
19,8	0,004	0,003	23,622
19,9	0,003	0,002	23,937
20,0	0,002	-0,001	24,173
20,2	0,002	-0,003	24,567
20,3	0,002	-0,001	24,724
20,4	0,002	0,001	25,039
20,6	0,002	0,000	25,354
20,7	0,003	-0,003	25,669
20,9	0,004	-0,003	25,984
21,0	0,005	0,000	26,457
21,1	0,005	0,004	26,614
21,3	0,005	0,004	26,929
21,4	0,004	0,001	27,244
21,5	0,002	-0,002	27,559
21,7	0,002	-0,002	27,874
21,8	0,003	-0,001	28,189
21,9	0,005	-0,003	28,504
22,1	0,006	-0,005	28,819
22,2	0,005	-0,006	29,134
22,3	0,004	-0,003	29,449
22,5	0,003	-0,001	29,764
22,6	0,004	-0,002	30,079
22,7	0,004	-0,004	30,394
