depth[mm]	HF [V]	NF [V]	TGC [dB]
66,6	0,004	0,003	30,709
66,7	0,004	0,000	30,709
66,9	0,004	-0,003	30,630
67,0	0,005	-0,005	30,709
67,1	0,005	-0,004	30,709
67,3	0,006	-0,001	30,630
67,4	0,006	0,003	30,630
67,5	0,006	0,006	30,709
67,7	0,004	0,005	30,630
67,8	0,003	0,002	30,709
68,0	0,002	0,000	30,709
68,1	0,002	0,001	30,709
68,2	0,003	0,003	30,709
68,4	0,004	0,003	30,709
68,5	0,005	0,000	30,709
68,6	0,005	-0,004	30,709
68,8	0,005	-0,005	30,709
68,9	0,004	-0,003	30,709
69,0	0,004	0,000	30,709
69,2	0,003	0,001	30,709
69,3	0,004	0,001	30,709
69,4	0,006	0,003	30,709
69,6	0,008	0,007	30,709
69,7	0,010	0,011	30,709
69,8	0,012	0,011	30,709
70,0	0,012	0,007	30,709
70,1	0,011	0,001	30,630
70,2	0,009	-0,004	30,709
70,4	0,007	-0,005	30,709
70,5	0,005	-0,004	30,709
70,7	0,003	-0,003	30,630
70,8	0,002	-0,002	30,709
70,9	0,001	0,000	30,630
71,1	0,001	0,000	30,709
71,2	0,002	-0,001	30,630
71,3	0,002	-0,002	30,709
71,5	0,002	-0,002	30,630
71,6	0,002	0,000	30,709
71,7	0,002	0,001	30,630
71,9	0,002	0,000	30,551
72,0	0,003	-0,003	30,630
72,1	0,004	-0,004	30,709
72,3	0,005	-0,003	30,630
72,4	0,005	0,000	30,709
72,5	0,003	0,002	30,709
72,7	0,002	0,002	30,709
72,8	0,001	0,001	30,551
72,9	0,002	-0,002	30,709
73,1	0,003	-0,002	30,709
73,2	0,005	0,001	30,630
73,4	0,005	0,004	30,551
73,5	0,005	0,005	30,630
73,6	0,004	0,003	30,709
73,8	0,004	0,003	30,709
73,9	0,005	0,004	30,709
74,0	0,008	0,001	30,709
74,2	0,013	-0,009	30,709
74,3	0,019	-0,019	30,709
74,4	0,026	-0,014	30,551
74,6	0,034	0,011	30,709
74,7	0,042	0,039	30,709
74,8	0,049	0,044	30,630
75,0	0,054	0,017	30,551
75,1	0,056	-0,026	30,709
75,2	0,056	-0,054	30,709
75,4	0,054	-0,048	30,709
75,5	0,051	-0,016	30,551
75,6	0,046	0,019	30,709
75,8	0,040	0,036	30,630
75,9	0,034	0,033	30,630
76,0	0,027	0,019	30,551
76,2	0,022	0,005	30,709
76,3	0,017	-0,004	30,709
76,5	0,012	-0,008	30,709
76,6	0,009	-0,008	30,630
76,7	0,006	-0,006	30,709
76,9	0,004	-0,004	30,630
77,0	0,004	-0,004	30,630
77,1	0,005	-0,003	30,551
77,3	0,005	-0,001	30,709
77,4	0,006	0,003	30,630
77,5	0,005	0,005	30,709
77,7	0,004	0,004	30,551
77,8	0,003	0,003	30,709
77,9	0,003	0,003	30,709
78,1	0,004	0,004	30,709
78,2	0,004	0,004	30,551
78,3	0,004	0,002	30,709
78,5	0,003	0,000	30,630
78,6	0,003	0,000	30,630
78,7	0,003	0,002	30,630
78,9	0,005	0,002	30,709
79,0	0,007	-0,001	30,709
79,2	0,008	-0,006	30,630
79,3	0,007	-0,007	30,709
79,4	0,006	-0,004	30,709
79,6	0,004	0,000	30,709
79,7	0,003	0,003	30,630
79,8	0,002	0,002	30,630
80,0	0,001	0,000	30,630
80,1	0,002	0,001	30,709
80,2	0,003	0,003	30,630
80,4	0,005	0,005	30,630
80,5	0,007	0,005	30,630
80,6	0,007	0,001	30,630
80,8	0,006	-0,002	30,630
80,9	0,004	-0,004	30,551
81,0	0,003	-0,003	30,709
81,2	0,002	-0,001	30,630
81,3	0,003	-0,001	30,551
81,4	0,004	-0,003	30,551
81,6	0,004	-0,004	30,630
81,7	0,004	-0,004	30,630
81,9	0,003	-0,003	30,630
82,0	0,002	-0,002	30,630
82,1	0,003	-0,003	30,630
82,3	0,004	-0,004	30,630
82,4	0,005	-0,003	30,630
82,5	0,005	0,001	30,551
82,7	0,004	0,004	30,709
82,8	0,003	0,003	30,551
82,9	0,003	0,000	30,630
83,1	0,003	-0,003	30,551
83,2	0,003	-0,002	30,630
83,3	0,003	0,002	30,709
83,5	0,003	0,003	30,630
83,6	0,002	0,001	30,551
83,7	0,002	-0,002	30,630
83,9	0,003	-0,001	30,630
84,0	0,004	0,002	30,630
84,1	0,005	0,005	30,551
84,3	0,006	0,005	30,630
84,4	0,006	0,003	30,630
84,6	0,005	0,000	30,630
84,7	0,004	-0,001	30,551
84,8	0,003	-0,002	30,551
85,0	0,002	-0,003	30,630
85,1	0,003	-0,002	30,630
85,2	0,004	0,002	30,551
85,4	0,006	0,006	30,551
85,5	0,008	0,006	30,630
85,6	0,008	0,002	30,630
85,8	0,007	-0,003	30,551
85,9	0,005	-0,005	30,630
86,0	0,003	-0,003	30,709
86,2	0,002	-0,001	30,630
86,3	0,002	-0,001	30,551
86,4	0,002	-0,003	30,551
86,6	0,003	-0,003	30,709
86,7	0,004	0,001	30,551
86,8	0,005	0,004	30,551
87,0	0,005	0,002	30,551
87,1	0,006	-0,003	30,551
87,3	0,005	-0,006	30,630
87,4	0,004	-0,003	30,551
87,5	0,003	0,000	30,630
87,7	0,002	0,001	30,630
87,8	0,002	-0,001	30,551
87,9	0,002	-0,002	30,551
88,1	0,002	-0,002	30,630
88,2	0,002	-0,001	30,630
88,3	0,002	-0,002	30,551
88,5	0,002	-0,002	30,551
88,6	0,002	0,000	30,630
88,7	0,002	0,002	30,551
88,9	0,003	0,002	30,551
89,0	0,003	-0,001	30,551
89,1	0,003	-0,003	30,709
89,3	0,003	-0,002	30,551
89,4	0,003	0,002	30,630
89,5	0,004	0,004	30,551
89,7	0,005	0,003	30,551
89,8	0,005	-0,001	30,551
90,0	0,005	-0,003	30,630
90,1	0,004	-0,004	30,551
90,2	0,003	-0,003	30,630
90,4	0,002	-0,001	30,630
90,5	0,001	0,000	30,630
90,6	0,002	-0,001	30,551
90,8	0,003	-0,003	30,630
90,9	0,004	-0,004	30,630
91,0	0,004	-0,002	30,551
91,2	0,004	0,001	30,551
91,3	0,004	0,003	30,551
91,4	0,003	0,002	30,630
91,6	0,003	-0,001	30,551
91,7	0,004	-0,003	30,551
91,8	0,004	-0,004	30,630
92,0	0,004	-0,003	30,630
92,1	0,005	-0,001	30,630
92,2	0,005	0,001	30,551
92,4	0,005	0,004	30,551
92,5	0,005	0,005	30,551
92,7	0,005	0,005	30,551
92,8	0,005	0,004	30,551
92,9	0,005	0,002	30,630
93,1	0,006	0,000	30,551
93,2	0,007	-0,003	30,551
93,3	0,008	-0,006	30,551
93,5	0,009	-0,009	30,551
93,6	0,010	-0,008	30,551
93,7	0,010	-0,003	30,551
93,9	0,010	0,005	30,551
94,0	0,010	0,010	30,551
94,1	0,010	0,009	30,551
94,3	0,010	0,003	30,551
94,4	0,010	-0,004	30,551
94,5	0,010	-0,009	30,630
94,7	0,010	-0,009	30,709
94,8	0,010	-0,005	30,551
94,9	0,009	0,001	30,551
95,1	0,008	0,006	30,551
95,2	0,007	0,007	30,630
95,3	0,005	0,005	30,551
95,5	0,003	0,001	30,551
95,6	0,002	0,000	30,630
95,8	0,002	0,001	30,630
95,9	0,003	0,002	30,551
96,0	0,004	0,000	30,551
96,2	0,005	-0,003	30,709
96,3	0,006	-0,005	30,551
96,4	0,005	-0,005	30,630
96,6	0,004	-0,003	30,551
96,7	0,003	-0,002	30,551
96,8	0,004	-0,003	30,551
97,0	0,006	-0,001	30,551
97,1	0,008	0,003	30,551
97,2	0,009	0,008	30,630
97,4	0,010	0,009	30,551
97,5	0,009	0,004	30,551
97,6	0,008	-0,003	30,551
97,8	0,007	-0,006	30,551
97,9	0,005	-0,004	30,551
98,0	0,004	0,001	30,551
98,2	0,003	0,003	30,551
98,3	0,003	0,000	30,551
98,5	0,004	-0,003	30,551
98,6	0,004	-0,004	30,630
98,7	0,005	-0,002	30,551
98,9	0,004	0,001	30,630
99,0	0,003	0,003	30,551
99,1	0,002	0,002	30,551
99,3	0,002	0,002	30,551
99,4	0,002	0,002	30,551
99,5	0,003	0,003	30,551
99,7	0,004	0,002	30,551
99,8	0,004	-0,001	30,551
99,9	0,005	-0,004	30,630
100,1	0,005	-0,004	30,551
100,2	0,006	0,000	30,551
100,3	0,006	0,006	30,551
100,5	0,007	0,006	30,551
100,6	0,007	0,002	30,551
100,7	0,006	-0,003	30,551
100,9	0,004	-0,004	30,551
101,0	0,002	-0,002	30,551
101,2	0,001	0,000	30,551
101,3	0,000	0,000	30,630
101,4	0,001	0,000	30,551
101,6	0,001	0,001	30,630
101,7	0,002	0,001	30,551
101,8	0,003	-0,001	30,630
102,0	0,004	-0,004	30,551
102,1	0,004	-0,002	30,630
102,2	0,005	0,002	30,551
102,4	0,005	0,005	30,551
102,5	0,004	0,003	30,551
102,6	0,003	0,000	30,551
102,8	0,002	-0,001	30,630
102,9	0,001	-0,001	30,551
103,0	0,001	-0,001	30,551
103,2	0,002	-0,002	30,551
103,3	0,002	-0,002	30,551
103,4	0,002	0,000	30,551
103,6	0,002	0,002	30,551
103,7	0,002	0,001	30,551
103,9	0,002	-0,002	30,551
104,0	0,002	-0,002	30,551
104,1	0,002	-0,001	30,551
104,3	0,001	0,001	30,551
104,4	0,001	0,000	30,551
104,5	0,001	-0,001	30,551
104,7	0,001	0,000	30,551
104,8	0,002	0,002	30,551
104,9	0,003	0,003	30,551
105,1	0,003	0,000	30,551
105,2	0,004	-0,003	30,630
105,3	0,005	-0,005	30,551
105,5	0,005	-0,002	30,551
105,6	0,005	0,002	30,551
105,7	0,005	0,005	30,551
105,9	0,004	0,003	30,551
106,0	0,003	0,000	30,551
106,1	0,003	-0,002	30,551
106,3	0,003	0,000	30,551
106,4	0,003	0,003	30,551
106,6	0,003	0,004	30,551
106,7	0,002	0,001	30,551
106,8	0,002	0,000	30,551
107,0	0,002	0,001	30,630
107,1	0,002	0,003	30,551
107,2	0,003	0,003	30,551
107,4	0,003	0,002	30,551
107,5	0,003	0,000	30,551
107,6	0,002	0,000	30,551
107,8	0,001	0,000	30,551
107,9	0,001	-0,001	30,551
108,0	0,001	-0,001	30,551
108,2	0,002	0,001	30,551
108,3	0,003	0,003	30,551
108,4	0,004	0,003	30,551
108,6	0,004	0,002	30,551
108,7	0,004	0,001	30,551
108,8	0,004	0,000	30,551
109,0	0,004	-0,001	30,551
109,1	0,004	-0,002	30,551
109,3	0,004	-0,004	30,551
109,4	0,003	-0,003	30,551
109,5	0,002	-0,001	30,551
109,7	0,002	0,001	30,551
109,8	0,003	0,002	30,551
109,9	0,004	0,000	30,551
110,1	0,004	-0,002	30,551
110,2	0,004	-0,004	30,551
110,3	0,003	-0,003	30,551
110,5	0,002	-0,002	30,551
110,6	0,003	-0,002	30,551
110,7	0,004	-0,004	30,551
110,9	0,004	-0,005	30,551
111,0	0,004	-0,002	30,551
111,1	0,003	0,001	30,551
111,3	0,003	0,002	30,551
111,4	0,003	-0,001	30,551
111,5	0,005	-0,005	30,551
111,7	0,006	-0,006	30,551
111,8	0,006	-0,002	30,630
111,9	0,005	0,002	30,551
112,1	0,004	0,004	30,551
112,2	0,003	0,002	30,551
112,4	0,003	0,000	30,551
112,5	0,004	-0,003	30,551
112,6	0,006	-0,006	30,551
112,8	0,008	-0,007	30,551
112,9	0,010	-0,005	30,551
