time [µs]	HF [V]	NF [V]	TGC [dB]
91,9	0,004	-0,004	30,394
92,0	0,005	-0,004	30,394
92,1	0,006	-0,004	30,394
92,2	0,006	-0,001	30,394
92,3	0,006	0,002	30,394
92,4	0,005	0,004	30,394
92,5	0,004	0,004	30,394
92,6	0,003	0,002	30,394
92,7	0,002	0,001	30,394
92,8	0,002	0,002	30,394
92,9	0,003	0,003	30,394
93,0	0,003	0,003	30,394
93,1	0,004	0,003	30,394
93,2	0,006	0,005	30,394
93,3	0,007	0,007	30,394
93,4	0,008	0,005	30,394
93,5	0,007	0,000	30,394
93,6	0,006	-0,004	30,394
93,7	0,004	-0,003	30,394
93,8	0,003	0,001	30,394
93,9	0,003	0,003	30,394
94,0	0,003	0,000	30,394
94,1	0,004	-0,003	30,394
94,2	0,003	-0,002	30,394
94,3	0,003	0,000	30,394
94,4	0,002	0,002	30,394
94,5	0,001	0,002	30,394
94,6	0,002	0,001	30,394
94,7	0,003	0,002	30,394
94,8	0,004	0,001	30,394
94,9	0,004	-0,001	30,394
95,0	0,003	-0,003	30,394
95,1	0,002	-0,002	30,394
95,2	0,002	0,000	30,394
95,3	0,002	-0,001	30,394
95,4	0,004	-0,003	30,394
95,5	0,004	-0,005	30,394
95,6	0,005	-0,004	30,394
95,7	0,004	-0,002	30,394
95,8	0,004	-0,001	30,394
95,9	0,004	-0,001	30,394
96,0	0,005	0,001	30,394
96,1	0,006	0,005	30,394
96,2	0,006	0,006	30,394
96,3	0,006	0,004	30,394
96,4	0,005	0,000	30,394
96,5	0,004	-0,002	30,394
96,6	0,003	-0,003	30,394
96,7	0,003	-0,003	30,394
96,8	0,003	-0,002	30,394
96,9	0,003	0,000	30,394
97,0	0,003	0,002	30,394
97,1	0,002	0,002	30,394
97,2	0,002	0,000	30,394
97,3	0,002	-0,002	30,394
97,4	0,002	0,000	30,394
97,5	0,003	0,003	30,394
97,6	0,003	0,003	30,394
97,7	0,003	0,000	30,394
97,8	0,002	-0,002	30,394
97,9	0,002	-0,002	30,394
98,0	0,001	0,000	30,394
98,1	0,001	-0,001	30,394
98,2	0,002	-0,002	30,394
98,3	0,004	-0,002	30,394
98,4	0,004	0,001	30,394
98,5	0,005	0,004	30,394
98,6	0,004	0,003	30,394
98,7	0,003	0,000	30,394
98,8	0,003	-0,003	30,394
98,9	0,003	-0,003	30,394
99,0	0,004	0,000	30,394
99,1	0,006	0,003	30,394
99,2	0,006	0,005	30,394
99,3	0,005	0,005	30,394
99,4	0,004	0,002	30,394
99,5	0,002	-0,001	30,394
99,6	0,002	0,000	30,394
99,7	0,003	0,004	30,394
99,8	0,006	0,003	30,394
99,9	0,007	-0,003	30,394
